Ground Truth,Response
!(stopVentilation) U ((stopVentilation) & G(PSVMode -> X(StandbyMode))),G((PSVMode & stopVentilation) -> F(!PSVMode & !StandbyMode))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PCVMode & RMButton) -> (RM))),G((inspiratoryPhaseEnd & !PCVMode & RM & RMButton) -> X(RM))
!(PCVModeSelected) U ((PCVModeSelected) & G(StandbyMode -> X(PCVMode))),G(PCVModeSelected -> F(PCVMode))
G((RM) -> F((outValveClose & inValveOpen))),G(RM -> (outValveClose & inValveOpen))
!inspiratoryPauseButton & inspiratoryPhaseEnd U (inspiratoryPauseButton & inspiratoryPhaseEnd & G((PCVMode | PSVMode) & inspiratoryPauseButton -> G(inspiratoryPause & inValveClose & outValveClose))),G(((PCVMode | PSVMode) & inspiratoryPauseButton) -> F(inspiratoryPhaseEnd & (inspiratoryPauseButton -> (inValveClose & outValveClose) U !inspiratoryPauseButton)))
G(SelfTestMode -> ((selfTestPass | selfTestFail))),G(SelfTestMode -> F(selfTestFail | selfTestPass))
!(PSVModeSelected) U ((PSVModeSelected) & G(PCVMode -> F(confirmPSVParameters))),G((PCVMode & PSVModeSelected) -> F(confirmPSVParameters))
G(StartUpMode -> X((((initStart & checkCommsSensors) & checkCommsValves) & checkCommsGUI))),G(initStart -> F(checkCommsGUI & checkCommsSensors & checkCommsValves))
!(guiFailure | ! guiConnected) U ((guiFailure | ! guiConnected) & ((ventilating & highPriorityAlarm))),G((guiFailure | !guiConnected) -> (highPriorityAlarm & (ventilating -> G(ventilating))))
!(selfTestPass) U ((selfTestPass) & (((startMonitoring & startReportingHealthParams) & StandbyMode))),G((selfTestPass & startMonitoring) -> F(startReportingHealthParams))
!(resumeVentilation) U ((resumeVentilation) & F((SelfTestMode & (((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFl2Pass | testFl2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip)) -> selfTestPass)))),G(resumeVentilation -> G((testAlarmsSkip | testAlarmsPass) & (testFl2Skip | testFl2Pass) & (testLeaksSkip | testLeaksPass) & (testOxygenSensorSkip | testOxygenSensorPass) & (testPSExpSkip | testPSExpPass) & (testPowerSwitchSkip | testPowerSwitchPass)))
(G((measureTV & displayTV))),G(measureTV -> F(displayTV))
G(enableLeakCompensation -> (leakCompensationActive)),G(enableLeakCompensation -> F(leakCompensationActive)) & !leakCompensationActive
G(StartUpMode | SelfTestMode -> G(! patientConnected)),G((StartUpMode | SelfTestMode) -> !patientConnected)
(X(enterAlarmThresholds)),G(enterAlarmThresholds)
!breathingCycleDone | patientBreathingRequest U (breathingCycleDone | patientBreathingRequest & G(PCVMode -> (breathingCycleStart))),G((PCVMode & breathingCycleDone) -> F(breathingCycleStart)) & G((PCVMode & patientBreathingRequest) -> F(breathingCycleStart))
G(SelfTestMode -> X(((testPSExpPass | testPSExpFail) | testPSExpSkip))),G(SelfTestMode -> F(testPSExpPass | testPSExpFail | testPSExpSkip))
!(apnea) U ((apnea) & F(apneaAlarm)),G(apnea -> F(apneaAlarm))
!(selfTestPass) U ((selfTestPass) & X(StandbyMode)),G(selfTestPass -> F(StandbyMode))
!(ventilatorSettingsChanged) U ((ventilatorSettingsChanged) & (logVentilatorSettings)),G(ventilatorSettingsChanged -> F(logVentilatorSettings))
(F((selfTestPass | selfTestFail))),G(selfTestPass -> !selfTestFail)
!(startUpDone) U ((startUpDone) & F((newPatient | resumeVentilation))),G(startUpDone -> ((!newPatient & !resumeVentilation) U (newPatient | resumeVentilation)))
G(PCVMode -> G((((confirmPSVParameters & PSVMode) | ((! confirmPSVParameters) & PCVMode)) & ventilating))),G((PCVMode & !confirmPSVParameters) -> (!PSVMode & ventilating)) & G(confirmPSVParameters -> F(PSVMode))
!(alarmSettingsChanged) U ((alarmSettingsChanged) & (logAlarmSettings)),G(alarmSettingsChanged -> F(logAlarmSettings))
G(StandbyMode -> G((!ventilating))),G(StandbyMode -> !ventilating)
G(StandbyMode -> F((ventilationParamsAdjustable))),G(StandbyMode -> ventilationParamsAdjustable)
!initFail U (initFail & G(StartUpMode -> (initFail & OutOfServiceWarning & failSafeMode))),G(initFail -> (OutOfServiceWarning & !StartUpMode & !failSafeMode))
!(PSVModeSelected) U ((PSVModeSelected) & G(PCVMode -> X((! (inspiratoryPhaseEnd & PSVMode))))),G((PCVMode & PSVModeSelected & inspiratoryPhaseEnd) -> X(PSVMode))
G(powerFailure -> X(patientSafe)),G(powerFailure -> patientSafe)
G(SelfTestMode -> (((testOxygenSensorPass | testOxygenSensorFail) | testOxygenSensorSkip))),G(SelfTestMode -> F(testOxygenSensorPass))
!(patientChanged) U ((patientChanged) & (logPatientChange)),G(patientChanged -> F(logPatientChange))
G(SelfTestMode -> (((testAlarmsPass | testAlarmsFail) | testAlarmsSkip))),G(SelfTestMode -> F(testAlarmsPass | testAlarmsFail | testAlarmsSkip))
G((gasSupplyFailure) -> X(patientSafe)),G(gasSupplyFailure -> patientSafe)
(G(enableLeakCompensation <-> leakCompensationActive)),G(enableLeakCompensation <-> F(leakCompensationActive))
!(powerSupplyChanged) U ((powerSupplyChanged) & F(logPowerSupply)),G(powerSupplyChanged -> F(logPowerSupply))
(G(logParams & saveLog)),G(F(!logParams & !saveLog) -> (logParams U saveLog))
(X(loadLog)),G(loadLog)
!(patientBreathTrigger) U ((patientBreathTrigger) & (breathingTimerReset)),G(patientBreathTrigger -> X(breathingTimerReset))
G(SelfTestMode -> X(((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip))),G(SelfTestMode -> F(testPowerSwitchPass | testPowerSwitchFail | testPowerSwitchSkip))
!(RMButton) U ((RMButton) & G(PCVMode -> F(RM))),G(PCVMode & RMButton -> F RM)
!MinPEEPAlarm U (MinPEEPAlarm & G(enableLeakCompensation -> X(leakCompensationActive))),G(enableLeakCompensation & MinPEEPAlarm -> F leakCompensationActive)
!(powerButton) U ((powerButton) & G((breathingCircuitConnected & ! ( patientConnected ) & airSupplyConnected & powerConnected ) -> X(StartUpMode))),G((breathingCircuitConnected & !patientConnected & airSupplyConnected & powerConnected & powerButton) -> X(StartUpMode))
!(preUseCheckDone) U ((preUseCheckDone) & X(logPreUseCheck)),G(preUseCheckDone -> F(logPreUseCheck))
!(selfTestFail) U ((selfTestFail) & G(SelfTestMode -> F((OutOfServiceWarning & failSafeMode)))),G((selfTestFail) -> (F(OutOfServiceWarning) & G(!SelfTestMode & !failSafeMode)))
G(SelfTestMode -> X(((testLeaksPass | testLeaksFail) | testLeaksSkip))),G(SelfTestMode -> F(testLeaksPass | testLeaksFail | testLeaksSkip))
(G((measureRR & displayRR))),G(measureRR -> F(displayRR))
!(PSVModeSelected) U ((PSVModeSelected) & G(PCVMode -> X((ventilating & PSVMode)))),G((PCVMode & ventilating) -> F(PSVModeSelected))
!(resumeVentilation) U ((resumeVentilation) & (loadLastParams)),G(resumeVentilation -> F(loadLastParams))
!breathingCycleDone | patientBreathingRequest U (breathingCycleDone | patientBreathingRequest & G(PCVMode -> F(inspiratoryPhaseStart))),G((PCVMode & !inspiratoryPhaseStart) -> ((!breathingCycleDone & !patientBreathingRequest) U (breathingCycleDone | patientBreathingRequest | inspiratoryPhaseStart)))
G(StandbyMode -> G(((!ventilating & inValveClose) & outValveOpen))),G(StandbyMode -> (!ventilating & inValveClose & outValveOpen))
G(StartUpMode -> X((((checkCommsSensors) & checkCommsValves) & checkCommsGUI) & defaultParamsLoaded & (initStart & (initDone | ((initFail & OutOfServiceWarning) & failSafeMode))))),G(StartUpMode -> (F(defaultParamsLoaded & checkCommsSensors & checkCommsValves & checkCommsGUI & initDone)))
!(expiratoryPauseButton) U ((expiratoryPauseButton) & G(PCVMode & expiratoryPhaseEnd & !patientBreathingRequest -> (((expiratoryPhaseEnd & inValveClose) & outValveClose)))),G((PCVMode & expiratoryPhaseEnd & !patientBreathingRequest & expiratoryPauseButton) -> F(inValveClose & outValveClose))
!(! RMButton) U ((! RMButton) & (((! RM) & expiratoryPhaseStart))),G(RMButton -> F(!RM))
G((expiratoryPhase) -> G((inValveClose & outValveOpen))),G(expiratoryPhase -> (inValveClose & outValveOpen))
!(off & powerButton) U ((off & powerButton) & X((StartUpMode))),G(powerButton -> X(StartUpMode))
!(inspiratoryPhaseEnd & PSVModeSelected) U ((inspiratoryPhaseEnd & PSVModeSelected) & G(PCVMode -> X((ventilating & PSVMode)))),G((PCVMode & ventilating & PSVModeSelected & inspiratoryPhaseEnd) -> X PSVMode)
!(stopVentilation) U ((stopVentilation) & G(PCVMode -> (StandbyMode))),G((PCVMode & stopVentilation) -> F(!PCVMode & !StandbyMode))
!(breathingCycleStart) U ((breathingCycleStart) & G(PSVMode -> X(inspiratoryPhaseStart))),G(PSVMode & breathingCycleStart -> inspiratoryPhaseStart)
!(!off & powerButton) U ((!off & powerButton) & F(finalState)),G((powerButton & off) -> F(finalState))
G(finalState -> F((parametersStored & off))),G(finalState -> (parametersStored U (off & parametersStored)))
!(V_E_lessThan_ExpiratoryTriggerSensitivity_multiplyBy_PeakV_E) U ((V_E_lessThan_ExpiratoryTriggerSensitivity_multiplyBy_PeakV_E) & G(PSVMode -> (expiratoryPhaseStart))),G((PSVMode & V_E_lessThan_ExpiratoryTriggerSensitivity_multiplyBy_PeakV_E) -> X(expiratoryPhaseStart))
!(expiratoryPauseButton) U ((expiratoryPauseButton) & G((PSVMode & expClock_within_interval_min_exp_time_psv_to_apnea_lag & !patientBreathingRequest & expiratoryPhase) -> X(((expiratoryPhaseEnd & inValveClose) & outValveClose)))),G((PSVMode & expiratoryPhase & !patientBreathingRequest & expClock_within_interval_min_exp_time_psv_to_apnea_lag & expiratoryPauseButton) -> F(inValveClose & outValveClose))
!(dropPAW_greaterThan_ITS_PCV) U ((dropPAW_greaterThan_ITS_PCV) & G((PCVMode) -> F(patientBreathingRequest))),G((PCVMode & dropPAW_greaterThan_ITS_PCV & patientBreathingRequest) -> F(!PCVMode | patientBreathingRequest))
G(PSVMode -> (inspiratoryPhase U (( P_insp_greaterThanOrEqual_MaxP_insp | inspClock_greaterThanOrEqual_inspiratoryTime )))),G((PSVMode & inspiratoryPhase) -> (inspiratoryPhase U (P_insp_greaterThanOrEqual_MaxP_insp | inspClock_greaterThanOrEqual_inspiratoryTime)))
G((inspiratoryPhase) -> G((((outValveClose & ((PCVMode & (! apnea)) -> (P_insp_equalTo_P_inspPCV))) & (PSVMode -> (P_insp_equalTo_P_inspPSV))) & ((PCVMode & apnea) -> (P_insp_equalTo_P_inspAP))))),G((inspiratoryPhase & PCVMode & !apnea) -> (outValveClose & P_insp_equalTo_P_inspPCV)) & G((inspiratoryPhase & PSVMode & !apnea) -> (outValveClose & P_insp_equalTo_P_inspPSV)) & G((inspiratoryPhase & PCVMode & apnea) -> (outValveClose & P_insp_equalTo_P_inspAP))
!(l1_lessThan_ExpiratoryTriggerSensitivity) U ((l1_lessThan_ExpiratoryTriggerSensitivity) & G(PSVMode -> X(expiratoryPhaseStart))),G((PSVMode & l1_lessThan_ExpiratoryTriggerSensitivity) -> F(expiratoryPhaseStart))
!(P_insp_greaterThan_MaxP_insp) U ((P_insp_greaterThan_MaxP_insp) & ((inspiratoryPhaseEnd & expiratoryPhaseStart))),G(P_insp_greaterThan_MaxP_insp -> X(expiratoryPhaseStart & inspiratoryPhaseEnd))
!(param_V_greaterThan_paramMax_V | param_V_lessThan_paramMin_V) U ((param_V_greaterThan_paramMax_V | param_V_lessThan_paramMin_V) & F(paramAlarm_V)),G((param_V_greaterThan_paramMax_V | param_V_lessThan_paramMin_V) -> paramAlarm_V)
!(breathingTime_greaterThanOrEqual_apneaLagTime) U ((breathingTime_greaterThanOrEqual_apneaLagTime) & G(PSVMode -> (apnea))),G((PSVMode & breathingTime_greaterThanOrEqual_apneaLagTime) -> apnea)
!(apnea) U ((apnea) & F((((PCVMode & (RR_equalTo_RR_AP)) & (P_insp_equalTo_P_inspAP)) & (ItoE_equalTo_ItoE_AP)))),G(apnea -> F(PCVMode & RR_equalTo_RR_AP & P_insp_equalTo_P_inspAP & ItoE_equalTo_ItoE_AP))
!(dropPAW_greaterThan_ITS_PCV) U ((dropPAW_greaterThan_ITS_PCV) & X(breathingCycleStart)),G(dropPAW_greaterThan_ITS_PCV -> F(breathingCycleStart))
G(PCVMode -> G(((breathingCycleTime_equalTo_1_divideBy_RR_PCV) & (ExpiratoryTime_equalTo_breathingCycleTime_divideBy_1_plus_ItoE_PCV)))),G(PCVMode -> (breathingCycleTime_equalTo_1_divideBy_RR_PCV & ExpiratoryTime_equalTo_breathingCycleTime_divideBy_1_plus_ItoE_PCV))
!(dropPAW_greaterThan_ITS_PSV) U ((dropPAW_greaterThan_ITS_PSV) & G(PSVMode -> F(breathingCycleStart))),G((PSVMode & breathingCycleStart) -> dropPAW_greaterThan_ITS_PSV)
!(pressureSensorRetries_greaterThanOrEqual_5 & ( pressureSensorConnFailure | pressureSensorError )) U ((pressureSensorRetries_greaterThanOrEqual_5 & ( pressureSensorConnFailure | pressureSensorError )) & G(StartUpMode -> F(failSafeMode))),G((StartUpMode & (pressureSensorConnFailure | pressureSensorError) & pressureSensorRetries_greaterThanOrEqual_5) -> F(failSafeMode))
!(breathingTime_greaterThanOrEqual_apneaLagTime) U ((breathingTime_greaterThanOrEqual_apneaLagTime) & G(PSVMode -> F((((PCVMode & (RR_equalTo_RR_AP)) & (P_insp_equalTo_P_inspAP)) & (ItoE_equalTo_ItoE_AP))))),G((PSVMode & F(breathingTime_greaterThanOrEqual_apneaLagTime)) -> F(PCVMode & RR_equalTo_RR_AP & P_insp_equalTo_P_inspAP & ItoE_equalTo_ItoE_AP))
G(PCVMode -> F((inspiratoryTime_equalTo_60_multiplyBy_ItoE_PCV_divideBy_RR_PCV_multiplyBy_1_plus_ItoE_PCV))),G(PCVMode -> inspiratoryTime_equalTo_60_multiplyBy_ItoE_PCV_divideBy_RR_PCV_multiplyBy_1_plus_ItoE_PCV)
G(PSVMode -> ((((minExpiratoryTime_greaterThanOrEqual_0_4) & (minExpiratoryTime_lessThanOrEqual_2)) & (expiratoryPhase -> (minExpiratoryTime_equalTo_inspClock_divideBy_2))))),G((PSVMode & expiratoryPhase) -> (minExpiratoryTime_equalTo_inspClock_divideBy_2 & minExpiratoryTime_greaterThanOrEqual_0_4 & minExpiratoryTime_lessThanOrEqual_2))
!(ADCRetries_greaterThanOrEqual_5 & ( ADCConnFailure | ADCError )) U ((ADCRetries_greaterThanOrEqual_5 & ( ADCConnFailure | ADCError )) & G(StartUpMode -> F(failSafeMode))),G((StartUpMode & (ADCConnFailure | ADCError) & ADCRetries_greaterThanOrEqual_5) -> F(failSafeMode))
!(breathingTime_greaterThanOrEqual_apneaLagTime) U ((breathingTime_greaterThanOrEqual_apneaLagTime) & G(PSVMode -> F(((((apnea & PCVMode) & (RR_equalTo_RR_AP)) & (P_insp_equalTo_P_inspAP)) & (ItoE_equalTo_ItoE_AP))))),G((PSVMode & breathingTime_greaterThanOrEqual_apneaLagTime & apnea) -> X(PCVMode & RR_equalTo_RR_AP & P_insp_equalTo_P_inspAP & ItoE_equalTo_ItoE_AP))
!(dropPAW_greaterThan_ITS_PSV) U ((dropPAW_greaterThan_ITS_PSV) & G((PSVMode & expiratoryPhase) -> X(patientBreathingRequest & inspiratoryPhaseStart))),G((PSVMode & expiratoryPhase & dropPAW_greaterThan_ITS_PSV) -> X(inspiratoryPhaseStart))
!(P_insp_greaterThan_MaxP_insp) U ((P_insp_greaterThan_MaxP_insp) & X((inspiratoryPhaseEnd & expiratoryPhaseStart))),G(P_insp_greaterThan_MaxP_insp -> X(expiratoryPhaseStart))
