Mutation Context,Frequency
Mutation.SWAP_OR_WITH_AND_5_True_2,8
Mutation.REMOVE_RIGHT_SUBFORMULA_1_False_2,7
Mutation.SWAP_AND_WITH_OR_1_None_1,7
Mutation.ADD_G_5_False_3,7
Mutation.SWAP_AND_WITH_EQUIV_2_False_2,7
Mutation.SWAP_AND_WITH_OR_2_False_2,7
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_None_3,7
Mutation.REMOVE_RIGHT_SUBFORMULA_5_None_3,7
Mutation.REMOVE_RIGHT_SUBFORMULA_2_False_2,7
Mutation.ADD_X_6_False_3,7
Mutation.REMOVE_RIGHT_SUBFORMULA_1_True_1,7
Mutation.SWAP_OR_WITH_IMPLIES_2_None_2,7
Mutation.SWAP_AND_WITH_EQUIV_1_False_2,7
Mutation.ADD_F_4_None_2,7
Mutation.ADD_X_3_None_5,7
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_True_3,7
Mutation.ADD_X_2_True_2,7
Mutation.SWAP_AND_WITH_EQUIV_3_None_1,7
Mutation.REMOVE_LEFT_SUBFORMULA_3_True_3,7
Mutation.SWAP_G_WITH_F_1_None_3,7
Mutation.ADD_NEGATION_3_False_3,7
Mutation.SWAP_AND_WITH_IMPLIES_4_False_3,7
Mutation.SWAP_AND_WITH_EQUIV_4_False_3,7
Mutation.ADD_F_3_None_2,7
Mutation.REMOVE_LEFT_SUBFORMULA_1_False_2,7
Mutation.ADD_F_5_False_3,7
Mutation.REMOVE_LEFT_SUBFORMULA_5_True_2,7
Mutation.ADD_F_6_True_3,7
Mutation.SWAP_OR_WITH_IMPLIES_4_True_2,7
Mutation.SWAP_OR_WITH_AND_5_None_2,7
Mutation.SWAP_AND_WITH_IMPLIES_1_False_2,6
Mutation.SWAP_AND_WITH_OR_1_False_2,6
Mutation.SWAP_G_WITH_F_3_None_2,6
Mutation.SWAP_F_WITH_G_1_None_2,6
Mutation.SWAP_AND_WITH_OR_3_False_3,6
Mutation.SWAP_IMPLIES_WITH_AND_1_True_2,6
Mutation.SWAP_IMPLIES_WITH_OR_1_None_2,6
Mutation.REMOVE_LEFT_SUBFORMULA_1_True_1,6
Mutation.SWAP_OR_WITH_EQUIV_2_None_2,6
Mutation.SWAP_OR_WITH_AND_2_None_2,6
Mutation.SWAP_EQUIV_WITH_OR_2_None_1,6
Mutation.SWAP_EQUIV_WITH_IMPLIES_2_None_1,6
Mutation.SWAP_EQUIV_WITH_IMPLIES_2_False_2,6
Mutation.SWAP_OR_WITH_AND_3_None_2,6
Mutation.REMOVE_LEFT_SUBFORMULA_2_False_1,6
Mutation.ADD_NEGATION_3_True_3,6
Mutation.ADD_NEGATION_1_False_4,6
Mutation.SWAP_OR_WITH_IMPLIES_1_True_2,6
Mutation.SWAP_AND_WITH_EQUIV_4_None_3,6
Mutation.SWAP_F_WITH_G_4_True_2,6
Mutation.ADD_NEGATION_2_True_2,6
Mutation.ADD_F_4_None_3,6
Mutation.ADD_NEGATION_6_False_2,6
Mutation.SWAP_F_WITH_X_2_True_2,5
Mutation.ADD_F_2_True_2,5
Mutation.SWAP_AND_WITH_IMPLIES_4_True_2,5
Mutation.SWAP_AND_WITH_OR_4_True_2,5
Mutation.SWAP_G_WITH_X_2_True_3,5
Mutation.SWAP_G_WITH_X_3_None_3,5
Mutation.SWAP_F_WITH_G_5_None_2,5
Mutation.SWAP_F_WITH_X_4_True_2,5
Mutation.SWAP_AND_WITH_IMPLIES_2_False_2,5
Mutation.SWAP_AND_WITH_IMPLIES_3_False_3,5
Mutation.SWAP_IMPLIES_WITH_AND_1_None_2,5
Mutation.SWAP_APS_0_False_1,5
Mutation.SWAP_G_WITH_F_2_True_2,5
Mutation.SWAP_F_WITH_G_4_True_3,5
Mutation.SWAP_G_WITH_X_2_False_2,5
Mutation.SWAP_OR_WITH_IMPLIES_2_None_1,5
Mutation.SWAP_OR_WITH_EQUIV_2_None_1,5
Mutation.SWAP_EQUIV_WITH_AND_2_True_1,5
Mutation.SWAP_EQUIV_WITH_OR_2_None_2,5
Mutation.REMOVE_LEFT_SUBFORMULA_2_True_3,5
Mutation.ADD_G_1_True_2,5
Mutation.ADD_NEGATION_1_False_5,5
Mutation.ADD_X_1_False_6,5
Mutation.REMOVE_X_3_True_3,5
Mutation.REMOVE_X_3_None_4,5
Mutation.ADD_X_1_False_5,5
Mutation.SWAP_AND_WITH_IMPLIES_2_False_3,5
Mutation.REMOVE_NEGATION_4_True_2,5
Mutation.SWAP_F_WITH_X_2_True_3,5
Mutation.ADD_NEGATION_7_None_2,5
Mutation.REMOVE_RIGHT_SUBFORMULA_5_False_2,5
Mutation.REMOVE_LEFT_SUBFORMULA_5_False_2,5
Mutation.ADD_F_2_None_2,5
Mutation.ADD_G_5_None_3,5
Mutation.ADD_NEGATION_7_True_1,5
Mutation.ADD_F_3_None_1,4
Mutation.REMOVE_X_5_True_2,4
Mutation.REMOVE_X_5_None_2,4
Mutation.REMOVE_F_3_True_2,4
Mutation.ADD_G_1_None_1,4
Mutation.ADD_F_2_True_3,4
Mutation.SWAP_G_WITH_F_2_None_3,4
Mutation.ADD_F_3_True_1,4
Mutation.ADD_G_6_None_2,4
Mutation.ADD_X_4_False_4,4
Mutation.REMOVE_LEFT_SUBFORMULA_5_None_3,4
Mutation.SWAP_AND_WITH_IMPLIES_2_None_2,4
Mutation.ADD_X_7_False_3,4
Mutation.SWAP_APS_0_True_3,4
Mutation.ADD_F_3_True_3,4
Mutation.SWAP_OR_WITH_EQUIV_1_True_2,4
Mutation.SWAP_EQUIV_WITH_AND_2_None_2,4
Mutation.ADD_NEGATION_1_True_4,4
Mutation.ADD_X_1_None_5,4
Mutation.ADD_F_1_False_4,4
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_4,4
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_5,4
Mutation.ADD_X_3_None_6,4
Mutation.REMOVE_NEGATION_5_None_3,4
Mutation.ADD_G_2_True_4,4
Mutation.SWAP_AND_WITH_OR_2_False_3,4
Mutation.SWAP_G_WITH_X_1_False_4,4
Mutation.SWAP_IMPLIES_WITH_OR_2_False_3,4
Mutation.SWAP_IMPLIES_WITH_AND_3_None_1,4
Mutation.SWAP_OR_WITH_EQUIV_3_None_3,4
Mutation.ADD_X_1_True_4,4
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_None_4,4
Mutation.SWAP_F_WITH_X_4_True_3,4
Mutation.ADD_NEGATION_3_None_5,4
Mutation.ADD_NEGATION_4_False_1,4
Mutation.ADD_NEGATION_4_None_4,4
Mutation.REMOVE_X_4_None_1,4
Mutation.SWAP_X_WITH_G_4_True_2,4
Mutation.SWAP_AND_WITH_OR_5_None_2,4
Mutation.SWAP_AND_WITH_EQUIV_1_False_3,4
Mutation.SWAP_G_WITH_F_4_None_1,4
Mutation.SWAP_AND_WITH_OR_3_False_4,4
Mutation.SWAP_AND_WITH_OR_5_False_2,4
Mutation.ADD_F_5_True_3,4
Mutation.SWAP_AND_WITH_OR_4_None_3,4
Mutation.SWAP_F_WITH_G_2_True_2,4
Mutation.REMOVE_RIGHT_SUBFORMULA_3_False_1,4
Mutation.ADD_X_6_None_2,4
Mutation.SWAP_AND_WITH_IMPLIES_3_False_4,4
Mutation.ADD_G_5_None_2,4
Mutation.SWAP_OR_WITH_IMPLIES_4_None_3,4
Mutation.REMOVE_X_4_None_3,4
Mutation.ADD_X_1_True_5,4
Mutation.SWAP_OR_WITH_IMPLIES_3_None_3,4
Mutation.SWAP_OR_WITH_AND_3_False_3,4
Mutation.REMOVE_LEFT_SUBFORMULA_5_False_3,4
Mutation.ADD_F_5_False_2,4
Mutation.SWAP_OR_WITH_AND_3_True_1,4
Mutation.SWAP_F_WITH_G_4_None_1,4
Mutation.SWAP_OR_WITH_IMPLIES_5_None_1,4
Mutation.SWAP_OR_WITH_EQUIV_5_None_1,4
Mutation.SWAP_OR_WITH_AND_4_True_2,4
Mutation.REMOVE_NEGATION_5_False_2,4
Mutation.REMOVE_RIGHT_SUBFORMULA_5_None_1,4
Mutation.REMOVE_LEFT_SUBFORMULA_5_None_1,4
Mutation.SWAP_G_WITH_X_2_False_3,3
Mutation.SWAP_F_WITH_G_3_True_1,3
Mutation.REMOVE_RIGHT_SUBFORMULA_2_False_3,3
Mutation.REMOVE_X_5_None_3,3
Mutation.ADD_X_2_False_4,3
Mutation.ADD_G_4_True_1,3
Mutation.REMOVE_RIGHT_SUBFORMULA_3_False_3,3
Mutation.REMOVE_X_4_True_2,3
Mutation.ADD_X_2_False_2,3
Mutation.SWAP_AND_WITH_EQUIV_2_None_2,3
Mutation.SWAP_AND_WITH_OR_2_False_1,3
Mutation.ADD_G_2_False_2,3
Mutation.SWAP_AND_WITH_IMPLIES_2_None_1,3
Mutation.SWAP_OR_WITH_EQUIV_5_None_3,3
Mutation.ADD_G_3_None_4,3
Mutation.SWAP_IMPLIES_WITH_EQUIV_1_True_3,3
Mutation.SWAP_F_WITH_X_4_True_4,3
Mutation.SWAP_IMPLIES_WITH_AND_1_True_1,3
Mutation.SWAP_G_WITH_F_2_False_1,3
Mutation.SWAP_OR_WITH_AND_2_True_1,3
Mutation.SWAP_IMPLIES_WITH_AND_2_True_3,3
Mutation.SWAP_F_WITH_G_1_True_1,3
Mutation.SWAP_AND_WITH_IMPLIES_2_False_1,3
Mutation.SWAP_AND_WITH_OR_4_None_5,3
Mutation.ADD_X_5_None_6,3
Mutation.ADD_X_6_True_5,3
Mutation.REMOVE_NEGATION_6_None_2,3
Mutation.REMOVE_LEFT_SUBFORMULA_1_False_1,3
Mutation.SWAP_AND_WITH_IMPLIES_1_False_1,3
Mutation.ADD_G_3_None_2,3
Mutation.ADD_X_5_False_4,3
Mutation.SWAP_F_WITH_X_3_False_3,3
Mutation.SWAP_OR_WITH_AND_2_True_2,3
Mutation.ADD_NEGATION_6_True_2,3
Mutation.ADD_F_1_None_1,3
Mutation.SWAP_U_WITH_W_2_None_1,3
Mutation.ADD_G_3_False_1,3
Mutation.SWAP_U_OPERANDS_4_True_2,3
Mutation.REMOVE_LEFT_SUBFORMULA_3_None_4,3
Mutation.SWAP_AND_WITH_EQUIV_2_False_3,3
Mutation.SWAP_AND_WITH_IMPLIES_5_None_2,3
Mutation.SWAP_AND_WITH_EQUIV_5_None_2,3
Mutation.SWAP_IMPLIES_WITH_OR_3_True_2,3
Mutation.REMOVE_RIGHT_SUBFORMULA_3_True_3,3
Mutation.REMOVE_LEFT_SUBFORMULA_2_False_3,3
Mutation.REMOVE_RIGHT_SUBFORMULA_1_False_1,3
Mutation.REMOVE_NEGATION_3_True_2,3
Mutation.ADD_F_6_False_2,3
Mutation.REMOVE_RIGHT_SUBFORMULA_2_None_3,3
Mutation.ADD_NEGATION_2_False_1,3
Mutation.ADD_NEGATION_4_False_3,3
Mutation.ADD_G_2_False_1,3
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_True_4,3
Mutation.SWAP_IMPLIES_WITH_OR_2_None_5,3
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_None_5,3
Mutation.SWAP_OR_WITH_AND_5_False_2,3
Mutation.SWAP_U_WITH_W_3_False_2,3
Mutation.SWAP_F_WITH_G_5_True_2,3
Mutation.ADD_G_4_False_4,3
Mutation.SWAP_OR_WITH_AND_5_True_1,3
Mutation.SWAP_U_OPERANDS_3_True_2,3
Mutation.SWAP_X_WITH_G_4_False_3,3
Mutation.SWAP_G_WITH_X_3_None_2,3
Mutation.SWAP_F_WITH_G_4_False_2,3
Mutation.ADD_NEGATION_7_None_3,3
Mutation.SWAP_AND_WITH_IMPLIES_4_None_3,3
Mutation.SWAP_OR_WITH_AND_5_None_1,3
Mutation.SWAP_OR_WITH_AND_5_False_3,3
Mutation.SWAP_AND_WITH_IMPLIES_5_False_2,3
Mutation.SWAP_AND_WITH_EQUIV_5_False_2,3
Mutation.ADD_NEGATION_8_None_2,3
Mutation.ADD_F_5_None_3,2
Mutation.REMOVE_NEGATION_6_None_3,2
Mutation.SWAP_IMPLIES_WITH_OR_3_False_1,2
Mutation.SWAP_AND_WITH_EQUIV_3_False_3,2
Mutation.SWAP_AND_WITH_OR_2_None_2,2
Mutation.SWAP_IMPLIES_WITH_EQUIV_1_None_2,2
Mutation.SWAP_AND_WITH_EQUIV_2_None_1,2
Mutation.SWAP_IMPLIES_WITH_OR_2_True_1,2
Mutation.SWAP_IMPLIES_WITH_OR_3_None_3,2
Mutation.ADD_X_6_False_4,2
Mutation.SWAP_AND_WITH_EQUIV_3_True_3,2
Mutation.REMOVE_LEFT_SUBFORMULA_6_True_3,2
Mutation.SWAP_G_WITH_F_2_True_3,2
Mutation.SWAP_G_WITH_X_2_True_4,2
Mutation.REMOVE_LEFT_SUBFORMULA_1_False_3,2
Mutation.SWAP_AND_WITH_IMPLIES_1_False_3,2
Mutation.REMOVE_NEGATION_4_False_1,2
Mutation.SWAP_G_WITH_F_1_None_5,2
Mutation.SWAP_G_WITH_F_1_False_9,2
Mutation.SWAP_G_WITH_X_1_None_6,2
Mutation.SWAP_G_WITH_X_1_False_6,2
Mutation.REMOVE_G_1_None_5,2
Mutation.REMOVE_G_1_False_5,2
Mutation.ADD_F_2_None_4,2
Mutation.ADD_F_2_False_9,2
Mutation.SWAP_EQUIV_WITH_IMPLIES_2_True_1,2
Mutation.ADD_X_3_False_8,2
Mutation.ADD_NEGATION_2_False_5,2
Mutation.ADD_X_5_None_5,2
Mutation.ADD_F_5_None_5,2
Mutation.ADD_G_4_True_4,2
Mutation.ADD_F_5_False_5,2
Mutation.ADD_G_6_True_5,2
Mutation.SWAP_U_WITH_W_1_False_2,2
Mutation.SWAP_U_OPERANDS_1_False_1,2
Mutation.SWAP_F_WITH_G_3_False_1,2
Mutation.SWAP_F_WITH_X_1_True_2,2
Mutation.SWAP_IMPLIES_WITH_OR_3_True_1,2
Mutation.REMOVE_NEGATION_5_True_1,2
