Natural Language,Ground Truth,Atomic Proposition
in any case the manager handles requests or a motorbike catches fire or a sensor retrieves data,G( manager_handles_requests | motorbike_catches_fire | sensor_retrieves_data ),{manager_handles_requests motorbike_catches_fire sensor_retrieves_data}
always when either YWbxjIM or oOtFXRuYncYopp then it will happen that both opqKrfPGwuG and HVGubwPeCyzILec,G(( YWbxjIM | oOtFXRuYncYopp ) -> F( opqKrfPGwuG & HVGubwPeCyzILec )),{HVGubwPeCyzILec YWbxjIM oOtFXRuYncYopp opqKrfPGwuG}
it will not happen that the car stops or the motorbike has stopped or a table has been moved,G(!( car_stops | motorbike_has_stopped | table_has_been_moved )),{car_stops motorbike_has_stopped table_has_been_moved}
"forever, the car starts and together the elevator falls and the brake is pressed",G( car_starts & elevator_falls & brake_is_pressed ),{brake_is_pressed car_starts elevator_falls}
"in any case a semaphore is red and, at the same time, a house is built and a motorbike is driven",G( semaphore_is_red & house_is_built & motorbike_is_driven ),{house_is_built motorbike_is_driven semaphore_is_red}
"as either iuOqfNuaYAE or CYZMHiVU, finally, qTqTZlw",G(( iuOqfNuaYAE | CYZMHiVU ) -> F( qTqTZlw )),{CYZMHiVU iuOqfNuaYAE qTqTZlw}
if either jirukSlJZitgx or QUgJm then at some point pcfEurL,G(( jirukSlJZitgx | QUgJm ) -> F( pcfEurL )),{QUgJm jirukSlJZitgx pcfEurL}
"in the future either the escalator is blocked, a sensor captures data or the sensor retrieves data",F( escalator_is_blocked | sensor_captures_data | sensor_retrieves_data ),{escalator_is_blocked sensor_captures_data sensor_retrieves_data}
always when PWzdlUXlBnfBNVI or mueoVmPb then at a certain moment HGYprROQXYFHGC or ZGnSy,G(( PWzdlUXlBnfBNVI | mueoVmPb ) -> F( HGYprROQXYFHGC | ZGnSy )),{HGYprROQXYFHGC PWzdlUXlBnfBNVI ZGnSy mueoVmPb}
"all the time the escalator speeds up, the manager handles requests and a car enters",G( escalator_speeds_up & manager_handles_requests & car_enters ),{car_enters escalator_speeds_up manager_handles_requests}
whenever a table is brown and the escalator speeds up then it will happen that a train has been launched and a constructor instantiate objects,G(( table_is_brown & escalator_speeds_up ) -> F( train_has_been_launched & constructor_instantiate_objects )),{constructor_instantiate_objects escalator_speeds_up table_is_brown train_has_been_launched}
it is always the case that a train has been launched or a table is brown or an elevator is open,G( train_has_been_launched | table_is_brown | elevator_is_open ),{elevator_is_open table_is_brown train_has_been_launched}
"after the semaphore is red and the car enters, at some point a sensor captures data and the engine stops",G(( semaphore_is_red & car_enters ) -> F( sensor_captures_data & engine_stops )),{car_enters engine_stops semaphore_is_red sensor_captures_data}
"at any time an elevator rises and, at the same time, a manager handles requests and the house collapses",G( elevator_rises & manager_handles_requests & house_collapses ),{elevator_rises house_collapses manager_handles_requests}
"as the escalator moves and the semaphore is yellow, it will happen that the car starts or a car stops",G(( escalator_moves & semaphore_is_yellow ) -> F( car_starts | car_stops )),{car_starts car_stops escalator_moves semaphore_is_yellow}
every time jzugwXZe,G( jzugwXZe ),{jzugwXZe}
"it will not happen that a car stops and, at the same time, the escalator moves and the bar is closing",G(!( car_stops & escalator_moves & bar_is_closing )),{bar_is_closing car_stops escalator_moves}
"after both a semaphore is green and a bridge opens, it is going to happen that either the bar has to be repaired or the engine breaks",G(( semaphore_is_green & bridge_opens ) -> F( bar_has_to_be_repaired | engine_breaks )),{bar_has_to_be_repaired bridge_opens engine_breaks semaphore_is_green}
whenever the bridge opens and a sensor retrieves data then in the future the engine starts or a constructor instantiate objects,G(( bridge_opens & sensor_retrieves_data ) -> F( engine_starts | constructor_instantiate_objects )),{bridge_opens constructor_instantiate_objects engine_starts sensor_retrieves_data}
every time either tPXLurbG or rGowhqdSkD then at some point either ZXLBpqbdP or qaU_zRTrHiNzG,G(( tPXLurbG | rGowhqdSkD ) -> F( ZXLBpqbdP | qaU_zRTrHiNzG )),{ZXLBpqbdP qaU_zRTrHiNzG rGowhqdSkD tPXLurbG}
it will happen that a semaphore is red or the house is open or a house is built,F( semaphore_is_red | house_is_open | house_is_built ),{house_is_built house_is_open semaphore_is_red}
"sooner or later IbpzIs and, at the same time, VPdZbhFFMmeGR and JhULrBQeKwNZW",F( IbpzIs & VPdZbhFFMmeGR & JhULrBQeKwNZW ),{IbpzIs JhULrBQeKwNZW VPdZbhFFMmeGR}
"whenever either the engine stops or the train stops then finally, either a train derails or the engine starts",G(( engine_stops | train_stops ) -> F( train_derails | engine_starts )),{engine_starts engine_stops train_derails train_stops}
"always, a car starts and together the table is brown and an elevator is open",G( car_starts & table_is_brown & elevator_is_open ),{car_starts elevator_is_open table_is_brown}
"after a train has arrived or an elevator rises, at a certain moment the escalator moves or a train has arrived",G(( train_has_arrived | elevator_rises ) -> F( escalator_moves | train_has_arrived )),{elevator_rises escalator_moves train_has_arrived}
"as the bar is closing or the bridge closes, finally, the elevator falls or a train stops",G(( bar_is_closing | bridge_closes ) -> F( elevator_falls | train_stops )),{bar_is_closing bridge_closes elevator_falls train_stops}
"finally, the brake is pressed or the escalator is blocked after an elevator falls or the motorbike catches fire",G(( elevator_falls | motorbike_catches_fire ) -> F( brake_is_pressed | escalator_is_blocked )),{brake_is_pressed elevator_falls escalator_is_blocked motorbike_catches_fire}
under no circumstances both the house collapses and the semaphore is red after the engine stops or a train stops,G(( engine_stops | train_stops ) -> G(!( house_collapses & semaphore_is_red ))),{engine_stops house_collapses semaphore_is_red train_stops}
"as the engine breaks and the train has arrived, at some point either the manager collect claims or a manager handles requests",G(( engine_breaks & train_has_arrived ) -> F( manager_collect_claims | manager_handles_requests )),{engine_breaks manager_collect_claims manager_handles_requests train_has_arrived}
it is always the case that the escalator speeds up or a manager collect claims or the motorbike has started,G( escalator_speeds_up | manager_collect_claims | motorbike_has_started ),{escalator_speeds_up manager_collect_claims motorbike_has_started}
whenever both the car stops and an elevator is blocked then it is going to happen that both the brake is pressed and the escalator moves,G(( car_stops & elevator_is_blocked ) -> F( brake_is_pressed & escalator_moves )),{brake_is_pressed car_stops elevator_is_blocked escalator_moves}
it never happens that the house is built and together a table has been moved and a semaphore is yellow,G(!( house_is_built & table_has_been_moved & semaphore_is_yellow )),{house_is_built semaphore_is_yellow table_has_been_moved}
when a house is built then whenever the sensor retrieves data then at a certain moment the semaphore is red afterwards,G(( house_is_built ) -> G(( sensor_retrieves_data ) -> F( semaphore_is_red ))),{house_is_built semaphore_is_red sensor_retrieves_data}
it is going to happen that _ABMoc,F( _ABMoc ),{_ABMoc}
it is always the case that tnqTC,G( tnqTC ),{tnqTC}
"first, in the future the escalator moves and the car starts, and then, eventually, the escalator is blocked and the sensor captures data",G(!( escalator_moves & car_starts )) | F(( escalator_moves & car_starts ) & F( escalator_is_blocked & sensor_captures_data )),{car_starts escalator_is_blocked escalator_moves sensor_captures_data}
"absolutely never, the brake is pressed or the house is open",G(!( brake_is_pressed | house_is_open )),{brake_is_pressed house_is_open}
"all the time either a train stops, a manager collect claims or the semaphore is red",G( train_stops | manager_collect_claims | semaphore_is_red ),{manager_collect_claims semaphore_is_red train_stops}
in any case a sensor retrieves data or a table is old or a train derails,G( sensor_retrieves_data | table_is_old | train_derails ),{sensor_retrieves_data table_is_old train_derails}
every time fvXWwQdOWz then at some point SPkfAKwqi,G(( fvXWwQdOWz ) -> F( SPkfAKwqi )),{SPkfAKwqi fvXWwQdOWz}
if both the bar is down and the brake is released then at a certain moment either a motorbike is driven or the elevator is open,G(( bar_is_down & brake_is_released ) -> F( motorbike_is_driven | elevator_is_open )),{bar_is_down brake_is_released elevator_is_open motorbike_is_driven}
"forever, either a sensor captures data, the bar is closing or the engine starts",G( sensor_captures_data | bar_is_closing | engine_starts ),{bar_is_closing engine_starts sensor_captures_data}
whenever the house is open or the bridge closes then sooner or later both the motorbike has started and an elevator rises,G(( house_is_open | bridge_closes ) -> F( motorbike_has_started & elevator_rises )),{bridge_closes elevator_rises house_is_open motorbike_has_started}
"every time both rBuLKqcbdR_ and FzSTs then finally, PGOvOQLOPg and MdJnLCFBPwr",G(( rBuLKqcbdR_ & FzSTs ) -> F( PGOvOQLOPg & MdJnLCFBPwr )),{MdJnLCFBPwr PGOvOQLOPg rBuLKqcbdR_ zSTs}
"it is going to happen that the bar is closing, the bar is down and the train is crossing",F( bar_is_closing & bar_is_down & train_is_crossing ),{bar_is_closing bar_is_down train_is_crossing}
every time the train is crossing or the manager handles requests or the escalator speeds up,G( train_is_crossing | manager_handles_requests | escalator_speeds_up ),{escalator_speeds_up manager_handles_requests train_is_crossing}
"as the engine breaks or the train has arrived, at some point both a sensor captures data and the car stops",G(( engine_breaks | train_has_arrived ) -> F( sensor_captures_data & car_stops )),{car_stops engine_breaks sensor_captures_data train_has_arrived}
every time both the manager collect claims and the train has arrived then it is going to happen that a motorbike catches fire and the bar has to be repaired,G(( manager_collect_claims & train_has_arrived ) -> F( motorbike_catches_fire & bar_has_to_be_repaired )),{bar_has_to_be_repaired manager_collect_claims motorbike_catches_fire train_has_arrived}
always when either the manager collect claims or the manager handles requests then in the future the elevator falls and a house is built,G(( manager_collect_claims | manager_handles_requests ) -> F( elevator_falls & house_is_built )),{elevator_falls house_is_built manager_collect_claims manager_handles_requests}
"it is always the case that either a motorbike falls down, the escalator is blocked or a car starts",G( motorbike_falls_down | escalator_is_blocked | car_starts ),{car_starts escalator_is_blocked motorbike_falls_down}
always KvxIEi implies that it will not happen that OoTcv,G(( KvxIEi ) -> G(!( OoTcv ))),{KvxIEi OoTcv}
"eventually, the bar is down or a motorbike has started or the train derails",F( bar_is_down | motorbike_has_started | train_derails ),{bar_is_down motorbike_has_started train_derails}
it is always the case that the brake is pressed and together the bar is up and the train is crossing,G( brake_is_pressed & bar_is_up & train_is_crossing ),{bar_is_up brake_is_pressed train_is_crossing}
under no circumstances the train has been launched or an elevator is blocked or a motorbike is driven,G(!( train_has_been_launched | elevator_is_blocked | motorbike_is_driven )),{elevator_is_blocked motorbike_is_driven train_has_been_launched}
"it will happen that a sensor retrieves data or a bridge closes and, finally, a sensor retrieves data or a manager collect claims afterwards",G(!( sensor_retrieves_data | bridge_closes )) | F(( sensor_retrieves_data | bridge_closes ) & F( sensor_retrieves_data | manager_collect_claims )),{bridge_closes manager_collect_claims sensor_retrieves_data}
"every time either the brake is pressed, the manager handles requests or the motorbike has started",G( brake_is_pressed | manager_handles_requests | motorbike_has_started ),{brake_is_pressed manager_handles_requests motorbike_has_started}
"a motorbike catches fire implies that eventually, the train is crossing after a house is built",G(( motorbike_catches_fire ) -> G(( house_is_built ) -> F( train_is_crossing ))),{house_is_built motorbike_catches_fire train_is_crossing}
"first, at some point in time the sensor retrieves data or the bridge closes, and then, sooner or later the bar is closing and an elevator is blocked",G(!( sensor_retrieves_data | bridge_closes )) | F(( sensor_retrieves_data | bridge_closes ) & F( bar_is_closing & elevator_is_blocked )),{bar_is_closing bridge_closes elevator_is_blocked sensor_retrieves_data}
if either a bridge opens or the motorbike has started then all the time a car enters or a train has arrived,G(( bridge_opens | motorbike_has_started ) -> G( car_enters | train_has_arrived )),{bridge_opens car_enters motorbike_has_started train_has_arrived}
it will happen that JDKeqZMoPNVy_J and GcinhROK,F( JDKeqZMoPNVy_J & GcinhROK ),{JDKeqZMoPNVy_J cinhROK}
"after either a semaphore is green or a car enters, at some point in time either a table is old or a train has arrived",G(( semaphore_is_green | car_enters ) -> F( table_is_old | train_has_arrived )),{car_enters semaphore_is_green table_is_old train_has_arrived}
"as the constructor creates instances and the escalator moves, it will happen that both a sensor captures data and the car stops",G(( constructor_creates_instances & escalator_moves ) -> F( sensor_captures_data & car_stops )),{car_stops constructor_creates_instances escalator_moves sensor_captures_data}
"first, eventually, GXAVCD or hDNxLLHyWLrRDC, and then, eventually, VcHrqvQn",G(!( GXAVCD | hDNxLLHyWLrRDC )) | F(( GXAVCD | hDNxLLHyWLrRDC ) & F( VcHrqvQn )),{AVCD VcHrqvQn hDNxLLHyWLrRDC}
whenever either the house is open or a train derails then it will happen that either the house is open or a table has been moved,G(( house_is_open | train_derails ) -> F( house_is_open | table_has_been_moved )),{house_is_open table_has_been_moved train_derails}
"under no circumstances the bar has to be repaired and, at the same time, the semaphore is broken and a semaphore is red",G(!( bar_has_to_be_repaired & semaphore_is_broken & semaphore_is_red )),{bar_has_to_be_repaired semaphore_is_broken semaphore_is_red}
"it is always true that either the bar is up, the manager handles requests or the motorbike has stopped",G( bar_is_up | manager_handles_requests | motorbike_has_stopped ),{bar_is_up manager_handles_requests motorbike_has_stopped}
"always, VOgiUKRQW and _wSDp after OnyVPTYtwxXrxV",G(( OnyVPTYtwxXrxV ) -> G( VOgiUKRQW & _wSDp )),{OnyVPTYtwxXrxV VOgiUKRQW _wSDp}
every time a manager handles requests or a motorbike catches fire then at some point both a house is open and the escalator speeds up,G(( manager_handles_requests | motorbike_catches_fire ) -> F( house_is_open & escalator_speeds_up )),{escalator_speeds_up house_is_open manager_handles_requests motorbike_catches_fire}
"sooner or later either the escalator speeds up, a manager collect claims or an elevator is blocked",F( escalator_speeds_up | manager_collect_claims | elevator_is_blocked ),{elevator_is_blocked escalator_speeds_up manager_collect_claims}
it is always true that the engine starts or the bar is up or a motorbike catches fire,G( engine_starts | bar_is_up | motorbike_catches_fire ),{bar_is_up engine_starts motorbike_catches_fire}
every time a semaphore is green or a motorbike falls down then at no time the bar has to be repaired and the engine stops,G(( semaphore_is_green | motorbike_falls_down ) -> G(!( bar_has_to_be_repaired & engine_stops ))),{bar_has_to_be_repaired engine_stops motorbike_falls_down semaphore_is_green}
"it will happen that a train has arrived and the elevator falls and, in the future both the escalator speeds up and the bridge opens afterwards",G(!( train_has_arrived & elevator_falls )) | F(( train_has_arrived & elevator_falls ) & F( escalator_speeds_up & bridge_opens )),{bridge_opens elevator_falls escalator_speeds_up train_has_arrived}
every time either a bridge closes or the bar has to be repaired then at a certain moment either the elevator falls or a motorbike catches fire,G(( bridge_closes | bar_has_to_be_repaired ) -> F( elevator_falls | motorbike_catches_fire )),{bar_has_to_be_repaired bridge_closes elevator_falls motorbike_catches_fire}
"absolutely never, either the house is open, the sensor retrieves data or the escalator is blocked",G(!( house_is_open | sensor_retrieves_data | escalator_is_blocked )),{escalator_is_blocked house_is_open sensor_retrieves_data}
"first, in the future the table is brown and the escalator moves, and then, at some point either the car enters or the motorbike has started",G(!( table_is_brown & escalator_moves )) | F(( table_is_brown & escalator_moves ) & F( car_enters | motorbike_has_started )),{car_enters escalator_moves motorbike_has_started table_is_brown}
"every time the car stops, a house collapses and the engine starts",G( car_stops & house_collapses & engine_starts ),{car_stops engine_starts house_collapses}
if the train has been launched and the semaphore is red then sooner or later the house is built or a sensor captures data,G(( train_has_been_launched & semaphore_is_red ) -> F( house_is_built | sensor_captures_data )),{house_is_built semaphore_is_red sensor_captures_data train_has_been_launched}
"at any time the train has arrived, the semaphore is yellow and the escalator speeds up",G( train_has_arrived & semaphore_is_yellow & escalator_speeds_up ),{escalator_speeds_up semaphore_is_yellow train_has_arrived}
"all the time either the elevator is open, the semaphore is broken or a motorbike falls down",G( elevator_is_open | semaphore_is_broken | motorbike_falls_down ),{elevator_is_open motorbike_falls_down semaphore_is_broken}
"forever, either ULCzbMbM, jKTGpCg or PEsjPQhNQ",G( ULCzbMbM | jKTGpCg | PEsjPQhNQ ),{PEsjPQhNQ ULCzbMbM jKTGpCg}
it should not happen that a train has been launched and the bar is closing,G(!( train_has_been_launched & bar_is_closing )),{bar_is_closing train_has_been_launched}
whenever both the manager handles requests and a semaphore is broken then in the future a sensor captures data or the constructor instantiate objects,G(( manager_handles_requests & semaphore_is_broken ) -> F( sensor_captures_data | constructor_instantiate_objects )),{constructor_instantiate_objects manager_handles_requests semaphore_is_broken sensor_captures_data}
it is always the case that VZkKpg and cddkUNLLyV,G( VZkKpg & cddkUNLLyV ),{VZkKpg cddkUNLLyV}
"as a sensor retrieves data and the escalator moves, sooner or later either a constructor creates instances or the train has arrived",G(( sensor_retrieves_data & escalator_moves ) -> F( constructor_creates_instances | train_has_arrived )),{constructor_creates_instances escalator_moves sensor_retrieves_data train_has_arrived}
every time a semaphore is red and together a semaphore is green and the sensor retrieves data,G( semaphore_is_red & semaphore_is_green & sensor_retrieves_data ),{semaphore_is_green semaphore_is_red sensor_retrieves_data}
in the future the brake is released or a bridge opens or the train derails,F( brake_is_released | bridge_opens | train_derails ),{brake_is_released bridge_opens train_derails}
"always, a sensor gathers information and together the train stops and the house is built",G( sensor_gathers_information & train_stops & house_is_built ),{house_is_built sensor_gathers_information train_stops}
at a certain moment either RKmtgtzzvP or crRUHGdyTrbEI,F( RKmtgtzzvP | crRUHGdyTrbEI ),{RKmtgtzzvP crRUHGdyTrbEI}
"it should not happen that the car enters, an elevator rises and a sensor captures data",G(!( car_enters & elevator_rises & sensor_captures_data )),{car_enters elevator_rises sensor_captures_data}
a constructor instantiate objects implies that it is going to happen that the train has arrived after the bar is down,G(( constructor_instantiate_objects ) -> G(( bar_is_down ) -> F( train_has_arrived ))),{bar_is_down constructor_instantiate_objects train_has_arrived}
"finally, the semaphore is green and the train derails after a semaphore is green or the engine stops",G(( semaphore_is_green | engine_stops ) -> F( semaphore_is_green & train_derails )),{engine_stops semaphore_is_green train_derails}
at some point in time both a manager collect claims and a motorbike has stopped after the escalator moves or the train has arrived,G(( escalator_moves | train_has_arrived ) -> F( manager_collect_claims & motorbike_has_stopped )),{escalator_moves manager_collect_claims motorbike_has_stopped train_has_arrived}
"the house is open and, as a consequence, every time the brake is pressed then eventually, the bar has to be repaired",G(( house_is_open ) -> G(( brake_is_pressed ) -> F( bar_has_to_be_repaired ))),{bar_has_to_be_repaired brake_is_pressed house_is_open}
"at any time either the car stops, the table has been moved or the table is brown",G( car_stops | table_has_been_moved | table_is_brown ),{car_stops table_has_been_moved table_is_brown}
under no condition a motorbike has started or the elevator rises or a bridge closes,G(!( motorbike_has_started | elevator_rises | bridge_closes )),{bridge_closes elevator_rises motorbike_has_started}
every time either the elevator is open or a house is built after both the engine stops and a bridge opens,G(( engine_stops & bridge_opens ) -> G( elevator_is_open | house_is_built )),{bridge_opens elevator_is_open engine_stops house_is_built}
whenever the bar is up and the motorbike has started then it is going to happen that a constructor instantiate objects and the table is brown,G(( bar_is_up & motorbike_has_started ) -> F( constructor_instantiate_objects & table_is_brown )),{bar_is_up constructor_instantiate_objects motorbike_has_started table_is_brown}
"at some point the bar is up, the bar is closing and the train is crossing",F( bar_is_up & bar_is_closing & train_is_crossing ),{bar_is_closing bar_is_up train_is_crossing}
every time both a motorbike falls down and a semaphore is red then under no condition a motorbike is driven and the bar is up,G(( motorbike_falls_down & semaphore_is_red ) -> G(!( motorbike_is_driven & bar_is_up ))),{bar_is_up motorbike_falls_down motorbike_is_driven semaphore_is_red}
each time a semaphore is green then always when a table has been moved then at a certain moment the constructor instantiate objects,G(( semaphore_is_green ) -> G(( table_has_been_moved ) -> F( constructor_instantiate_objects ))),{constructor_instantiate_objects semaphore_is_green table_has_been_moved}
