Ground Truth,Response
G(x1 ->F(x2)) & G(!x3 U (x1 & x2)),G(x1 -> F x2) & (!x3 U (x1 & x2))
F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),(F(x1 & x2) -> (!x1 U x1)) & (!F(x1 & x2) -> (F(x2) -> F(x1)))
F(x1)->(x2 U x1) & G(x3),(F x1 -> (x2 U x1)) & (!F x1 -> x3)
G(x1->F(x3 & F(x2))),G(x1 -> (x2 U x3))
G((x1->!x2) & X(!x1->X(x2))),G((x1 -> !x2) & (!x1 -> X x2))
x1 & x2 & x3 -> X(G(x4)),G((x1 | x2 | x3) -> F G x4)
G(x1->(X(!x2) & X(x3) & X(X(!x3)))),G(x1 -> (!x2 & !x3 & X(!x2 & !x3 & X(!x2 & !x3))))
G((x1 U !x1) & (!x1 U x1)),G(x1 -> X(!x1)) & G(!x1 -> X(x1))
G(!x1) -> ((x2 -> X(!x2 & x3)) & (x3 ->X(!x3 & x2))),(!x1 -> G((x2 | x3) & !(x2 & x3) & (x2 -> X x3) & (x3 -> X x2)))
x1 & x2 & x3 -> F(x1) & F(x2) & F(x3),G((x2 & x1 & x3) -> F G(x1 & x2 & x3))
G(X(!x1->((x2 & X(!x2)) & (!x3 & X(x3))))),G(!X x1 -> ((x2 & !X x2) & (!x3 & X x3)))
G((x3->!x1 & x2) & ((x1 & x2) -> x3) & F(x1 & x2 & x3)),G((x3 & !x2) -> !x1) & G((x2 & x1) -> x3) & F(x1 & x2 & x3)
G(x1) -> G(x2) U (!x3),G(x1 -> (x2 U !x3))
G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),G((x2 & x3) -> X x1) & G(x2 -> X x1) & (x4 U x1) & F x2
G(x1 -> G(x2)),G(x1 -> x2)
!x1 U F(x1) & X(G(!x1)),F x1 & F G !x1
G(x1-> !(x2 & x3)),G(x1 -> (!x2 & !x3))
G(x1) & X(X(!x2)),G x1 & !x2 & X !x2
G(x1 U F(x2)),G(x1 U F(!x2))
G(x1 & x2) -> F(x3),G((x1 & x2) -> F x3)
G(x1 -> (F(x2) & F(x3))),G(x1 -> (G F x2 & F x3))
G((x1->!x3) U (!x1->x3)),G(x1 -> !x3) & (!x3 U x3)
G(x1->X(!x1) | !x1->X(x1)),G(x1 -> X(!x1)) & G(!x1 -> X(x1))
G(x1 U (x2 | x3) & F(x3)),(G((x2 | x3) -> x1) & (x1 U (x2 | x3)) & F x3)
G((x1 & x2) ->X(x3)) & F(x3),G((X x1 & X x2) -> x3) & F x3
G(!x2) | G(x2 U x1),!x2 | (x2 U x1)
x1 & x2 & X(x3),x1 & !x2 & x3
G(F(x1 & x2)),F(x1 & x2)
(x1) U (G(!x1)),F x1 & G(F x1 -> X G !x1)
F(!x1) & G(!x1 -> X(G(!x1))),G(x1 -> X(!x1 & G(!x1)))
F (x1 & F (x2)) & F (x3 & (!x3 U x2)),F x1 & F (x2 & F x3)
G(x1 -> (X(x2) & G(X(X(x3))))),G(x1 -> (F x2 & G(x2 -> X X x3)))
F(x1) & F(x2),F(x1 & F x2)
F(x1 | x2) & F(x3),G((x3 -> (x1 | x2)) & ((x1 | x2) -> X(!x3 U x3)))
F(x1) & F(x2),x1 & X x2
b -> X((c U a) | (G(c))),G(b -> X(c U (a | G c)))
(F(b) -> (!b U (a & !b))),G(b -> (!b U a))
G(F(a)) -> G(F(b)),G(F a -> F b)
G (!(a & b) -> F(c)),G((!a & !b) -> F c)
(!a) U b,G(a -> (!a U b))
G (a -> X(G(!b))),G(a -> G(!b))
(b U (b & ! a)) | G(b),b U (a | G b)
a & G(a -> X(!a) & X(X(!a)) & X(X(X(!a))) & X(X(X(X(!a)))) & X(X(X(X(X(a)))))),G(a <-> (X X X X a))
G (a -> (b | X(b))),G(a -> (X b & X X b))
G(a | X(a) | X(X(a))),G a & G (is_execeeds -> X X a)
G(!a -> (X(!a) | X(X(a)))),G(a | X(a | X(G a)))
G(a -> (X(!a) | X(X(!a)) | X(X(X(a))))),G(a -> X(!a & X(!a & X(a))))
G(x1 <-> x2),G(x1 -> x2)
(!a) U b,G(a -> (!a U b))
!p U (p U (!p U (p U G(!p)))),G(p -> X(!p U (p & X(!p U !p))))
G!(x1 & x2),!(x1 & x2)
G!(x1 & (x2 | x1)),G((x1 & X x1) -> !(x2 | X x1))
x1 -> X(x2 U (x3 & x4)),G(x1 -> (x2 U (x3 & x4)))
F(x1 -> F(!x1)),G(x1 -> F(!x1))
G(r -> X(!r & X(r))),G(r -> G(r))
(r U !r) & (G(!r -> G(!r))),F G !r
X(X(F(X(r)))),F(r & X(F(r & X(F r))))
F(r) -> G(b),G(r -> b)
G(r -> X(!r) & X(X(r))),G(r -> X(off & X(on)))
F(b & X(F(b))),F(x1 & X(F(x1)))
!x1 U (x1 & G(!X(x1))),F(x1 & G(!x1))
G((!x1 | x2) -> X(!x3)),G((!x1 | !x2) -> !X x3)
G(x1 & !x2),!G(x1 & !x2)
(x1 & !x2) -> X(x1),G((x1 & !x2) -> x1)
(!x1 & x2) -> F(x3 ),G((!x1 & x2) -> F x3)
x1 -> F(x2),G(x1 -> F x2)
x1 -> F(x2),G(x1 -> F x2)
x1 -> x2,G(x1 -> x2)
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
G (x1 -> G(F(x2))),G(x1 -> F x2)
G (x1 -> G(F(x2))),G(x1 -> F x2)
G(x1 -> G(!x2 U x3)),G(x1 -> (!x2 U x3))
G (x1 -> G(F(x2))),G(x1 -> F x2)
G(x1 -> G(F(x2))),x1 -> F x2
G ( !x2 -> !x1 ),!x1 U x2
G(x1 & x2 & x3 -> (x1 U x4)),G((x1 & x2 & x3) -> X x2)
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
G (x1 & x2 & x3 -> (x2 U x4)),G((x1 & x2 & x3) -> X(x2))
G(x2->X(!x2 U x1)),!B | (B -> X(!B U A))
G((x1 U !x1) & (F(!x1 U x1)) ),G(x1 U !x1) & F(!x1 U x1)
F(F(x1)),G(x1 -> F x1)
G(x1 | x2) & x1 U x2 & x2 U x1,G((x1 | x2) & (x1 U x2) & (x2 U x1))
G(x1 -> X(x2 | X3)) & G(x1-> (!x2 & !x3)),G(x1 -> (F(x2 | x3) & G(x1 -> !(x2 | x3))))
F(x2) -> !x2 U (x1 & x3),F(x2 -> (!x2 U (x1 & x3)))
G(x1 & (G(x2) U x1) & F(x2)),G(x1) & (x2 U (x1 & F G(x2)))
G(x1& !x2) & F(x3),G(x1 & !x2 & F x3)
G(F(x1)) -> F(G(x1)),G(F(x1 -> F(G(x1))))
x1 & !x2 -> F(!x1 U x2 ),G((x1 & !x2) -> F(!x1 U x2))
(F(x1) & F(x2)) -> G(x1 -> x2 & x2 -> x1),F x1 -> G((x1 -> x2) & (x2 -> x1))
!(G(x1)) U G(!x1),!(G x1 U G !x1)
F(x1) -> G(x1 U !x1),F(x1 -> G(x1 U !x1))
X(X(x1))->X(x1),X x1 -> X x1
G(F(x2) U X(x1)),G((!x1) U (X x1 & F x2))
x3 U ((x1 | G(x3)) & F(x2)),x3 U (x1 | (G x3 & F x2))
x1 -> X(x1),G(x1 -> X x1)
F((x1 <-> X(!x2)) | G(x2)),F x1 <-> (X !x2 | G x2)
(x1 & x2) -> (X(x3) & X(X(!x3))),G((x1 & x2) -> (X x3 & XX !x3))
(x1 -> X(x1)) & (X(x1) -> X(X(x1))),G(x1 -> Xx1) & G(Xx1 -> XXx1)
X(X(X(x1))) -> (F(!x2) & x3),G(X(X(X(x1))) -> F(!x2 & x3))
G(x1 U x2) & G(!(x1 & x2)),G((x1 U !x2) & (!x1 & !x2))
G(F(x1 -> X(!x1)) & x2 -> !x2),G((F x1) -> X !x1) & G(x2 -> !x2)
G(!x1) -> (G(x1) | F(x2)),G(!x1 -> G(x1 | F x2))
(x1 U x2) | G(x1 -> X(!x1)),x1 U (x2 | G(x1 -> X(!x1)))
F(x2 & x1) -> (x1 U x2) | (X(x2)),(F x2 & x1) -> (x1 U x2 | X x2)
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),(F(x1 & x2 & x3) -> x4) & (!F(x1 & x2 & x3) -> !x4)
X(x1)->X(X(X(x2))),G(x1 -> X X X x2)
G(x1 & !x2),G(x1 & !x2 & (x1 -> !x2) -> G(!x2))
x1 -> F(!x1) & !x1 -> F(x1),G((x1 -> F(!x1)) & (!x1 -> F(x1)))
(x1 <-> x2) U (x1 U x3),x1 <-> (x2 U (x1 U x3))
G(!(x1 & x2)) & G(x1 | x2),G(!x1 & !x2) & G(x1 | x2)
X(X(F(X(x1)))),F(x1 & X(X(X(x1))))
x1 -> X(X(X(x1))),G(x1 -> X X X x1)
x1 & X(x1) & X(X(x1))->G(F(x1)),G((x1 & X x1 & X X x1) -> F x1)
G ((x1 & X x2) -> (x3 & X x4)),G((x1 & X x2) -> X(x4)) & G((x4 & X x3) -> X(x1))
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
G(x1 -> x2),G(x1 -> F x2)
G(!x1),G !A
F(x1 & G(X(!x1))),F A & G(A -> X !A)
G(F(x1)) & G(F(x2)) &  G(X1 -> X(!x1 U x2)) & G (x2 -> X(!x2 U x1)),G(F(A & X(B)) & F(B & X(A)))
G(x1 -> F(x2)),G(A -> F B)
G(G(x1)->G(F(x2))),G((x1 & X x1) -> G F x2)
G(x1-> X(!(x2))),G(x1 -> G(!X(x2)))
G(x2 -> F(x1)),G(x1 -> (x2 U x1))
G(x1 -> (x1 U (x2 & (x2 U x3)))),G(x1 -> F(x2 & F x3))
G(F(x1)),F x1
G((x1 & F(x2)) -> (x3 U x4)),G((x1 & X x2) -> (!x3 U x4))
G(x1->x2),G(NewLeader -> ImprovementOverPreviousLeader)
G(x1 -> F(!x2)),F G !x1
G(F(x1)),G(x1)
G(x1 -> X(x2)) & G(x2 -> X(x1)),G(x1 -> X(!x1 & x2)) & G(x2 -> X(!x2 & x1))
G(x1->X(x2 & G(!x3))),G(x1 -> (x2 & !x3))
G (x1 -> (x1 U (!x1 | x2))),G(x1 -> x2)
F(x1) -> (!x1 U x2),F x1 -> (!x2 U x1)
G (x1 -> F(x2)),x1 -> x2
F(G(!x1)),!F x1
G(F(x1)),G x1
G (x1 -> x3) & G (!x2 -> !x1),G((x3 -> x2) & (!x2 -> !x1))
G(x1 -> F(x2)),G(x1 -> x2)
G(x1 -> (x2 & X(G!(x2)))),G(x1 -> X(!x2 U x1))
G(x2 -> (x1 & X(G(!x1)))),G(x2 -> (!x1 U x2))
x1 & G (!x2 & !x3),x1 & !x2 & !x3
G(x1 -> F(x2)),G(x1 -> x2)
G(x1 -> G(x2 -> F(x3))),G(x1 -> (!x2 U x3))
G(x1 -> (X(x2) |x2)),G(x1 -> X x2)
X(X(x1)),X x1
F(G(x1) | X(x2)),F(x1 | X x2)
F(G(!x1)),F !x1
G(x1 -> (x3 U !x2)),x1 -> (x3 U !x2)
G(F(x1))-> G(F(x2)),G(F x1 -> G F x2)
G(x1 -> x2) -> (G(x1) -> G(x2)),G((x1 -> x2) -> (G x1 -> G x2))
G(x1 -> G (x2 -> x1)),(G x1 -> G(x2 -> x1))
G(x1 -> !F(x2)),G(x1) -> !F(x2)
G(F(x1 -> F(x2))),G(F x1) -> F x2
G(x1-> G(F(x2))),G((x1 & X x1) -> G F x2)
G(x1 -> F(x2)),G((x1 & X x1) -> F x2)
G (!x2 -> !x1),!x2 -> !x1
x1 -> (!x1 -> x2),G(x1 -> (!x2 -> x2))
!x2 & !(!x1 -> x2),G(!( !x1 -> x2 ))
!x1 -> x2,G(!x1 -> x2)
!x1 -> x2,G(!x1 -> x2)
x1 -> x2,G(x1 -> x2)
x1 -> x2,x2 -> x1
x1 -> x2,G(x1 -> x2)
x1 -> x2,G(x1 -> x2)
x1 -> x2,G(x1 -> x2)
!(x1 -> x2) & (x1 -> !x2),G(x1 -> !x2)
(X3 -> x2) & (x1 -> x3) -> (x1 -> x2),(x3 -> x2) & (x1 -> x3)
((x1 & !x2) | (!x1 & x2)) -> (x1 & x2),(x1 | x2) -> !(x1 & x2)
(x1 | x2) -> ((x1 & !x2) | (!x1 & x2)),G(((x1 | x2) & !(x1 & x2)) <-> (x1 | x2))
X1 | !(x1 & x2),x1 | !(x1 & x2)
X1 | (!x1 & !x2),x1 | (!x1 & !x2)
x2 <-> !x1,x2 U x1
x1 & (x2 -> !x3),x1 & (x2 -> X x3)
(!x1 & !x2) -> x3,G((!x1 & !x2) -> x3)
x1 -> (x2 | x3),x1 -> X(x2 | x3)
x1 -> x2,G(x1 -> x2)
x1 -> x2,G(x1 -> x2)
x1 <-> x2,G(x1 -> x2) & G(x2 -> x1)
x1 -> x2,G(x1 -> x2)
x2 -> x1,G(x1 -> x2)
(!x1 -> x2) & (x1 -> x3),G((!x1 -> x2) & (x1 -> x3))
(x1 | x2) -> x3,G((x1 | x2) -> x3)
(x1 -> (x2 & x3)) & (!x1 -> !x2 & !x3),G((x1 -> (x2 & x3)) & (!x1 -> (!x2 & !x3)))
!x1 -> !x2,G(!x1 -> !x2)
(!G x1) & (G x2) & (!G x3) & (G x4),G(x4 -> x2) & G(!x3 -> !x1)
!garage_1 U (landmark_5&&photo),!garage_1 U photo
[]!street_7&&<>(store_9&&<>(p_package_3&&<>(house_1&&pd))),G(!(street_7 & p_package_3))
<>(mall_5&&<>(p_box_4&&<>(house_1&&pd))),F mall_5 & F p_box_4 & F house_1
!intersection_1 U street_6&&<>(street_2&&<>(p_cone_3&&<>(intersection_1&&pd))),(!intersection_1 U street_6) & (street_2 -> F(p_cone_3 & F intersection_1))
[]locality_5&&<>(office_3&&<>(p_package_5&&<>(office_6&&pd))),G((p_package_5 & office_3) -> (locality_5 U office_6))
<>(statue_5&&photo),F statue_5 & F photo
[]<>(intersection_4&&photo),G F photo
[]street_5&&[]<>(parking_lot_4&&photo),G(street_5 & F photo)
!room_2 U (kitchen_1&&<>(p_bottle_4&&<>(table_4&&pd))),!room_2 U (kitchen_1 & p_bottle_4 & X (p_bottle_4 U table_4))
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),F (p_trash_can_4 & !house_1) & F (p_trash_can_4 & garbage_dump_3)
[]!parking_lot_8&&<>street_5,G(street_5 -> !parking_lot_8)
!park_5 U intersection_5&&<>(monument_3&&photo),(!park_5) U (intersection_5 & photo & monument_3)
!intersection_5 U street_4&&<>(house_4&&<>(p_pass_4&&<>(office_1&&pd))),G((house_4 & p_pass_4 & !street_4) -> (!intersection_5 U street_4))
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G((p_brochure_8 & table_2) -> X((street_9 & charger_6) U (p_brochure_8 & table_2)))
!p_cone_2 U intersection_4,G(!p_cone_2 U intersection_4)
!park_5 U intersection_5&&<>(monument_3&&photo),(!park_5 U intersection_5) & G(intersection_5 -> X(photo & monument_3))
[]<>(car_1&&photo)&&[]!parking_lot_9,G(photo -> !parking_lot_9)
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4 U street_3) & G((store_7 & p_takeout_2) -> F(bench_3))
[]<>(statue_4&&photo)&&[]<>charger_4,G(photo -> (photo U charger_4)) & G(statue_4 -> F charger_4)
<>(bench_4&&photo&&[]bench_4),F(bench_4 & photo & G(bench_4 & photo))
!landmark_5 U park_5&&<>(landmark_5&&photo),(!landmark_5 U park_5) & F photo
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),F (house_1 & p_trash_can_4) & F (garbage_dump_3 & p_trash_can_4)
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G(F(p_brochure_8 & table_2) & F(street_9) & F(charger_6))
[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd))),G(F charger_2) & F(p_plate_4 & table_4)
parking_lot_5 U (car_5&&photo),parking_lot_5 U photo
[]<>(mall_5&&<>(p_crate_8&&<>(office_6&&pd))),G(p_crate_8 -> F(office_6))
park_8 U (monument_2&&photo&&<>(bench_5&&[]bench_5)),(park_8 U (photo & X (bench_5 & G bench_5)))
park_4 U (statue_9&&photo),!photo U (park_4 & photo)
<>(park_5&&<>(monument_3&&photo)),F park_5 & G(park_5 -> F photo)
[]<>(warehouse_4&&<>(p_crate_3&&<>(mall_3&&pd))),G(warehouse_4 -> F(mall_3 & p_crate_3))
<>[]mall_5,F mall_5 & G(mall_5)
!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd))),(!store_4) U street_6
!locality_5 U (house_2&&<>(p_pass_5&&<>(office_3&&pd))),!locality_5 U (house_2 & X p_pass_5 & X X office_3)
[]<>(store_4&&<>(p_box_2&&<>(hall_8&&pd))),G(p_box_2 -> F(hall_8))
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4 U street_3) & G((street_3 & !bench_3) -> X(p_takeout_2 U bench_3))
[]<>(building_5&&photo)&&[]<>charger_4,G(photo & F charger_4)
<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd))),F(post_office_1 & X(p_letter_3 & F(house_2 & pd)))
[]!street_3&&<>building_4,G(building_4 -> !street_3)
[]<>car_3&&<>building_2,G(building_2 -> F car_3)
[]<>(area_51&&photo)&&[]<>charger_4,G(photo & F photo) & G(F charger_4)
<>(park_5&&<>(statue_2&&photo)),!photo U park_5 & G(photo -> park_5)
[]!parking_lot_8&&<>street_5,G( !street_5 -> !parking_lot_8 )
[]!park_3&&<>(monument_3&&photo),G(photo -> !park_3)
<>(store_2&&<>(p_package_4&&<>(house_4&&pd))),F(store_2 & p_package_4 & X(pd U house_4))
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4) U (street_3 & p_takeout_2 & store_7 & bench_3)
[]<>(area_51&&photo)&&[]<>charger_4,G(photo -> area_51) & G(F charger_4)
[]<>parking_lot_4&&<>(car_5&&<>(p_document_4&&<>(car_6&&pd))),G F parking_lot_4 & F car_5 & F p_document_4 & F car_6
[]<>(warehouse_4&&<>(p_crate_8&&<>(store_8&&pd)))&&[]<>charger_2,G((p_crate_8 & warehouse_4) -> F(store_8)) & G(F(charger_2))
<>(house_4&&<>(p_trash_4&&<>(garbage_dump_1&&pd))),F house_4 & F p_trash_4 & F garbage_dump_1
[]<>charger_9&&[]<>(warehouse_8&&<>(p_crate_2&&<>(store_2&&pd))),G((p_crate_2 & warehouse_8 & !store_2) -> F charger_9)
<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2,(!street_5 U p_pass_2) & F p_pass_2 & F office_2
<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2))),F house_4 & X (p_stack_4 & X (F street_2 & G street_2))
[]<>(car_1&&photo)&&[]!parking_lot_9,G(photo & !parking_lot_9)
[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd))),G(F(office_2 & p_crate_1))
!park_5 U intersection_5&&<>(monument_3&&photo),!park_5 U (intersection_5 & photo & monument_3)
locality_6 U (store_8&&<>(p_package_3&&<>(house_5&&pd))),locality_6 U (p_package_3 & store_8 & X (!locality_6 U (pd & house_5)))
<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd))),F(post_office_1 & X(p_letter_3 & X(house_2 & X(pd))))
[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd))),G((p_package_8 & store_7) -> !street_4)
!street_4 U intersection_6&&<>[]street_4,(!street_4) U intersection_6 & G(intersection_6 -> X(street_4 U !intersection_6))
<>(table_8&&<>(p_brochure_2&&<>(table_1&&pd))),F(table_8 & X(p_brochure_2 U table_1))
<>(street_5&&<>(building_2&&[]building_2)),F street_5 & F (street_5 -> F (building_2 & G building_2))
street_4 U (house_1&&photo),street_4 U photo
<>(monument_12&&photo&&[]monument_12),F(photo & G(photo))
street_6 U intersection_8,!intersection_8 U street_6
!intersection_1 U street_6&&<>(street_2&&<>(p_cone_3&&<>(intersection_1&&pd))),(!intersection_1 U street_6) & G(street_6 -> F(street_2 & F(p_cone_3 & F(intersection_1))))
[]<>street_5,G street_5
[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd))),G(county_4 & (office_3 -> X(p_package_4 U office_8)) & (office_8 -> X(office_3 U p_package_4)))
parking_lot_9 U (car_2&&photo),parking_lot_9 U photo
<>(pd&&<>parking_lot_2),G(pd -> X(!pd & parking_lot_2))
!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd))),(!store_4 U street_6) & (office_2 -> F p_package_8)
<>(arch_4&&photo)&&[]!park_2,F photo & G !park_2
<>(table_4&&<>(p_tin_can_4&&<>(trash_can_5&&pd)))&&[]!hallway_2,F(p_tin_can_4 & table_4) & F(p_tin_can_4 & trash_can_5) & G(!hallway_2)
<>(monument_1&&photo)&&!monument_1 U park_4,F photo & (!monument_1 U park_4)
!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd))),(!store_4 U street_6) & (office_2 -> F(p_package_8 & X(!p_package_8 U store_4)))
park_2 U (monument_13&&photo),park_2 U photo
<>(office_5&&<>(p_letter_4&&<>(house_2&&pd))),F(office_5 & X(p_letter_4 U house_2))
area_5 U (store_2&&<>(p_package_8&&<>(house_9&&pd))),area_5 U (p_package_8 & pd & house_9)
[]<>(monument_8&&photo)&&!monument_8 U park_4,G(photo -> (!monument_8 U park_4))
[]locality_7&&<>(office_4&&<>(p_letter_1&&<>(house_1&&pd))),G((p_letter_1 & office_4) -> (locality_7 U house_1))
<>(kitchen_1&&<>(p_bottle_2&&<>(hall_2&&[]hall_2))),F(p_bottle_2 & X(!p_bottle_2 U (hall_2 & G hall_2)))
[]street_5&&[]<>(parking_lot_4&&photo),G(street_5 & G(F(photo)))
[]<>(landmark_21&&photo),G F photo
!room_4 U building_4,!building_4 U room_4
<>(pd&&<>parking_lot_2),G(pd -> X(parking_lot_2))
<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2))),F(house_4 & p_stack_4 & X(street_2 & G(street_2)))
<>[]parking_lot_5,F(parking_lot_5) & G(parking_lot_5 -> X(parking_lot_5))
<>(monument_1&&photo)&&!monument_1 U park_4,F photo & (!monument_1 U park_4)
<>(plant_8&&<>(p_box_5&&<>(store_6&&pd))),F(p_box_5 & plant_8 & X F(store_6))
<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd))),F(shop_1 & X p_bottle_3 & F(hospital_2 & p_bottle_3))
<>(street_4&&<>(p_traffic_cone_5&&<>(intersection_6&&pd))),F(intersection_6 & !street_4)
[]<>(locality_7&&photo)&&[]!park_3,G(photo & locality_7 & !park_3)
[]<>(area_4&&photo)&&[]<>(area_3&&photo),G(photo -> area_4) & G(F area_3)
<>(table_2&&<>(p_brochure_9&&<>(park_4&&[]park_4))),F p_brochure_9 & F park_4 & G(park_4 -> X park_4)
!intersection_1 U street_6&&<>(street_2&&<>(p_cone_3&&<>(intersection_1&&pd))),(!intersection_1) U (street_6 & X(p_cone_3 U (street_2 & X(intersection_1))))
[]<>charger_3&&[]<>(area_3&&photo),G(photo -> F charger_3) & G(charger_3 -> F photo)
<>(bedroom_2&&<>(p_bottle_3&&<>(kitchen_4&&pd))),G((bedroom_2 & p_bottle_3) -> X(!bedroom_2 U kitchen_4))
<>(statue_6&&photo)&&[]park_5,F(statue_6 & photo & park_5)
!landmark_5 U park_5&&<>(landmark_5&&photo),(!landmark_5 U park_5) & F photo
