original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
It should be the case that at some point (prop_1) happens and (prop_3) happens at the same time, which is equivalent to the scenario that (prop_2) does not happen .;( ( F prop_1 & prop_3 ) <-> ! prop_2 );!prop_2 <-> (prop_3 & Fprop_1);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 <-> (ap_2 & Fap_0);lifted_data_pureLTL.jsonl;!prop <-> (prop & Fprop);!prop <-> (prop & Fprop);2
The scenario in which either ( prop_3 ) is equivalent to ( prop_2 ), and ( prop_4 ) should always be true , until the scenario in which ( prop_1 ) .;( ( ( prop_3 <-> prop_2 ) & prop_4 ) U prop_1 );(prop_4 & (prop_2 <-> prop_3)) U prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_3 & (ap_1 <-> ap_2)) U ap_0;lifted_data_pureLTL.jsonl;(prop & (prop <-> prop)) U prop;(prop & (prop <-> prop)) U prop;2
If you do not (prop_2) and (prop_3), then you should always do (prop_1) .;( ( ! prop_2 & prop_3 ) -> G prop_1 );(!prop_2 & prop_3) -> Gprop_1;['prop_1', 'prop_2', 'prop_3'];;;;(!ap_1 & ap_2) -> Gap_0;lifted_data_pureLTL.jsonl;(!prop & prop) -> Gprop;(!prop & prop) -> Gprop;2
If either ( prop_2 ) or ( prop_1 ) or ( prop_3 ) is detected, then it is equivalent to have ( prop_4 ) .;( ( ( prop_2 | prop_1 ) | prop_3 ) <-> prop_4 );prop_4 <-> (prop_1 | prop_2 | prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 <-> (ap_0 | ap_1 | ap_2);lifted_data_pureLTL.jsonl;prop <-> (prop | prop | prop);prop <-> (prop | prop | prop);2
if the brake is pressed and a house is built then at some point a sensor captures data;G(( brake_is_pressed & house_is_built ) -> F( sensor_captures_data ));G((brake_is_pressed & house_is_built) -> Fsensor_captures_data);['brake_is_pressed', 'house_is_built', 'sensor_captures_data'];if the brake_is_pressed and a house_is_built then at some point a sensor_captures_data;;{'brake_is_pressed': 'ap_0', 'house_is_built': 'ap_1', 'sensor_captures_data': 'ap_2'};G((ap_0 & ap_1) -> Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> Fprop);G((prop & prop) -> Fprop);2
If you do (prop_2) then you should do (prop_3), but do not do (prop_1) .;( ( prop_2 -> prop_3 ) & ! prop_1 );!prop_1 & (prop_2 -> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;!ap_0 & (ap_1 -> ap_2);lifted_data_pureLTL.jsonl;!prop & (prop -> prop);!prop & (prop -> prop);2
For each time instant ( prop_2 ) happens , is equivalent to the case that ( prop_1 ) or ( prop_3 ) happens .;( G prop_2 <-> ( prop_1 | prop_3 ) );(prop_1 | prop_3) <-> Gprop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 | ap_2) <-> Gap_1;lifted_data_pureLTL.jsonl;(prop | prop) <-> Gprop;(prop | prop) <-> Gprop;2
Make sure (prop_2) always happens, and if (prop_1), then also (prop_3) .;( G prop_2 & ( prop_1 -> prop_3 ) );(prop_1 -> prop_3) & Gprop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 -> ap_2) & Gap_1;lifted_data_pureLTL.jsonl;(prop -> prop) & Gprop;(prop -> prop) & Gprop;2
at some point in time the escalator moves and the elevator rises;F( escalator_moves & elevator_rises );F(elevator_rises & escalator_moves);['elevator_rises', 'escalator_moves'];at some point in time the escalator_moves and the elevator_rises;;{'elevator_rises': 'ap_0', 'escalator_moves': 'ap_1'};F(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop);F(prop & prop);2
at some point either a house is built or the escalator is blocked;F( house_is_built | escalator_is_blocked );F(escalator_is_blocked | house_is_built);['house_is_built', 'escalator_is_blocked'];at some point either a house_is_built or the escalator_is_blocked;;{'house_is_built': 'ap_0', 'escalator_is_blocked': 'ap_1'};F(ap_1 | ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop | prop);F(prop | prop);2
at some time be_near tree or never drop orange;F ( be_near_tree ) | G ( ! ( drop_orange ) );"F""be_near(tree)"" | G!""drop(orange)""";['drop_orange', 'be_near_tree'];;;;Fap_1 | G!ap_0;VLTL-Bench_Prev;Fprop | G!prop;Fprop | G!prop;2
Whenever neither communicate the safe_rescuer nor photo injured_civilian holds, go_home eventually holds.;"G ( ! ( communicate_safe_rescuer & photo_injured_civilian ) -> F ""go_home"" )";"G(!(""communicate(safe_rescuer)"" & ""photo(injured_civilian)"") -> Fgo_home)";['go_home', 'photo_injured_civilian', 'communicate_safe_rescuer'];;;;G(!(ap_2 & ap_1) -> Fap_0);VLTL-Bench_New;G(!(prop & prop) -> Fprop);G(!(prop & prop) -> Fprop);2
Take a video of the cyclist on west_8th_avenue must keep holding until, from some point on, photo the pedestrian on east_2nd_avenue holds infinitely often.;record_cyclist_west_8th_avenue U ( G ( F photo_pedestrian_east_2nd_avenue ) );"""record(cyclist,west_8th_avenue)"" U GF""photo(pedestrian,east_2nd_avenue)""";['record_cyclist_west_8th_avenue', 'photo_pedestrian_east_2nd_avenue'];;;;ap_0 U GFap_1;VLTL-Bench_New;prop U GFprop;prop U GFprop;2
If it is globally the case that whenever ( prop_3 ) is detected then as a result ( prop_1 ) should happen , then ( prop_2 ) .;( G ( prop_3 -> prop_1 ) -> prop_2 );G(prop_3 -> prop_1) -> prop_2;['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> ap_0) -> ap_1;lifted_data_pureLTL.jsonl;G(prop -> prop) -> prop;G(prop -> prop) -> prop;2
You must always have either photo the person on northwest_4th_avenue or photo the collision on east_3rd_avenue.;G ( photo_person_northwest_4th_avenue | photo_collision_east_3rd_avenue );"G(""photo(collision,east_3rd_avenue)"" | ""photo(person,northwest_4th_avenue)"")";['photo_collision_east_3rd_avenue', 'photo_person_northwest_4th_avenue'];;;;G(ap_0 | ap_1);VLTL-Bench_New;G(prop | prop);G(prop | prop);2
at any time make_to flag until come_to tree;F ( make_to_flag ) U come_to_tree;"F""make_to(flag)"" U ""come_to(tree)""";['make_to_flag', 'come_to_tree'];;;;Fap_0 U ap_1;VLTL-Bench_Prev;Fprop U prop;Fprop U prop;2
Make sure you do not (prop_2) until (prop_1).;( ! prop_2 ) U prop_1;!prop_2 U prop_1;['prop_1', 'prop_2'];;;;!ap_1 U ap_0;lifted_data_pureLTL.jsonl;!prop U prop;!prop U prop;2
eventually, a sensor captures data after either the bar has to be repaired or the escalator speeds up;G(( bar_has_to_be_repaired | escalator_speeds_up ) -> F( sensor_captures_data ));G((bar_has_to_be_repaired | escalator_speeds_up) -> Fsensor_captures_data);['escalator_speeds_up', 'sensor_captures_data', 'bar_has_to_be_repaired'];eventually, a sensor_captures_data after either the bar_has_to_be_repaired or the escalator_speeds_up;;{'escalator_speeds_up': 'ap_0', 'sensor_captures_data': 'ap_1', 'bar_has_to_be_repaired': 'ap_2'};G((ap_2 | ap_0) -> Fap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);2
Provide assistance to the injured_hostile must hold until photo gas_leak does, or else deliver_aid the injured_hostile holds forever.;( deliver_aid_injured_hostile U photo_gas_leak ) | G deliver_aid_injured_hostile;"(""deliver_aid(injured_hostile)"" U ""photo(gas_leak)"") | G""deliver_aid(injured_hostile)""";['deliver_aid_injured_hostile', 'photo_gas_leak'];;;;(ap_0 U ap_1) | Gap_0;VLTL-Bench_New;(prop U prop) | Gprop;(prop U prop) | Gprop;2
Whenever neither get_help nor photo the motorcycle on northwest_6th_avenue holds, record the vehicle on north_4th_street eventually holds.;"G ( ! ( ""get_help"" & photo_motorcycle_northwest_6th_avenue ) -> F record_vehicle_north_4th_street )";"G(!(get_help & ""photo(motorcycle,northwest_6th_avenue)"") -> F""record(vehicle,north_4th_street)"")";['get_help', 'photo_motorcycle_northwest_6th_avenue', 'record_vehicle_north_4th_street'];;;;G(!(ap_0 & ap_1) -> Fap_2);VLTL-Bench_New;G(!(prop & prop) -> Fprop);G(!(prop & prop) -> Fprop);2
whenever either the motorbike has started or the escalator speeds up then it is always the case that a semaphore is yellow;G(( motorbike_has_started | escalator_speeds_up ) -> G( semaphore_is_yellow ));G((escalator_speeds_up | motorbike_has_started) -> Gsemaphore_is_yellow);['escalator_speeds_up', 'semaphore_is_yellow', 'motorbike_has_started'];whenever either the motorbike_has_started or the escalator_speeds_up then it is always the case that a semaphore_is_yellow;;{'escalator_speeds_up': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'motorbike_has_started': 'ap_2'};G((ap_0 | ap_2) -> Gap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Gprop);G((prop | prop) -> Gprop);2
at some time ( prop_1 ) or ( prop_2 );F ( prop_1 | prop_2 );F(prop_1 | prop_2);['prop_1', 'prop_2'];;;;F(ap_0 | ap_1);lifted_data_pureLTL.jsonl;F(prop | prop);F(prop | prop);2
it is going to happen that both a constructor instantiate objects and an elevator rises and, at some point in time the manager handles requests or a motorbike has started afterwards;G(!( constructor_instantiate_objects & elevator_rises )) | F(( constructor_instantiate_objects & elevator_rises ) & F( manager_handles_requests | motorbike_has_started ));G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F(manager_handles_requests | motorbike_has_started));['constructor_instantiate_objects', 'elevator_rises', 'motorbike_has_started', 'manager_handles_requests'];it is going to happen that both a constructor_instantiate_objects and an elevator_rises and, at some point in time the manager_handles_requests or a motorbike_has_started afterwards;;{'constructor_instantiate_objects': 'ap_0', 'elevator_rises': 'ap_1', 'motorbike_has_started': 'ap_2', 'manager_handles_requests': 'ap_3'};G!(ap_0 & ap_1) | F(ap_0 & ap_1 & F(ap_3 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop | prop));G!(prop & prop) | F(prop & prop & F(prop | prop));2
pick_up orange means that when possible venture house;pick_up_orange -> F ( venture_house );"""pick_up(orange)"" -> F""venture(house)""";['venture_house', 'pick_up_orange'];;;;ap_1 -> Fap_0;VLTL-Bench_Prev;prop -> Fprop;prop -> Fprop;2
when don't ( prop_1 ) , ( prop_2 );( ! prop_1 -> prop_2 );!prop_1 -> prop_2;['prop_1', 'prop_2'];;;;!ap_0 -> ap_1;lifted_data_pureLTL.jsonl;!prop -> prop;!prop -> prop;2
( prop_1 ) or when possible ( prop_2 );( prop_1 | F prop_2 );prop_1 | Fprop_2;['prop_1', 'prop_2'];;;;ap_0 | Fap_1;lifted_data_pureLTL.jsonl;prop | Fprop;prop | Fprop;2
Ensure you keep revisiting charging_station_9 as you repeatedly move crate_4 from warehouse_5 to mall_4;"G F ""charging_station_9"" & G F ( ""warehouse_5"" & F ( ""p_crate_4"" & F ( ""mall_4"" & ""pd"" ) ) )";GFcharging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd)));['p_crate_4', 'pd', 'warehouse_5', 'charging_station_9', 'mall_4'];;;;GFap_3 & GF(ap_2 & F(ap_0 & F(ap_4 & ap_1)));VLTL-Bench_Prev;GFprop & GF(prop & F(prop & F(prop & prop)));GFprop & GF(prop & F(prop & F(prop & prop)));2
at some time snag orange or at some time make_way waste basket;F ( snag_orange ) | F ( make_way_waste_basket );"F""snag(orange)"" | F""make_way(waste_basket)""";['make_way_waste_basket', 'snag_orange'];;;;Fap_1 | Fap_0;VLTL-Bench_Prev;Fprop | Fprop;Fprop | Fprop;2
never ( prop_1 ) or when possible ( prop_2 );G ( ! prop_1 | F prop_2 );G(!prop_1 | Fprop_2);['prop_1', 'prop_2'];;;;G(!ap_0 | Fap_1);lifted_data_pureLTL.jsonl;G(!prop | Fprop);G(!prop | Fprop);2
You need to wait until (prop_2) before (prop_1).;( prop_2 U prop_1 );prop_2 U prop_1;['prop_1', 'prop_2'];;;;ap_1 U ap_0;lifted_data_pureLTL.jsonl;prop U prop;prop U prop;2
always when the bar is up and the manager collect claims then eventually, the manager collect claims and the bar is up;G(( bar_is_up & manager_collect_claims ) -> F( manager_collect_claims & bar_is_up ));G((bar_is_up & manager_collect_claims) -> F(bar_is_up & manager_collect_claims));['bar_is_up', 'manager_collect_claims'];always when the bar_is_up and the manager_collect_claims then eventually, the manager_collect_claims and the bar_is_up;;{'bar_is_up': 'ap_0', 'manager_collect_claims': 'ap_1'};G((ap_0 & ap_1) -> F(ap_0 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop & prop));G((prop & prop) -> F(prop & prop));2
Repeatedly capture photos of statue 4 while persistently returning to charger 4;[]<>(statue_4&&photo)&&[]<>charger_4;GF(photo & statue_4) & GFcharger_4;['photo', 'charger_4', 'statue_4'];Repeatedly capture photos of statue_4 while persistently returning to charger_4;{'photo': 'photo', 'charger 4': 'charger_4', 'statue 4': 'statue_4'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'statue_4': 'ap_2'};GF(ap_0 & ap_2) & GFap_1;ConformalNL2LTL;GF(prop & prop) & GFprop;GF(prop & prop) & GFprop;2
approach trash can until snatch_up pear;approach_trash_can U snatch_up_pear;"""approach(trash_can)"" U ""snatch_up(pear)""";['approach_trash_can', 'snatch_up_pear'];;;;ap_0 U ap_1;VLTL-Bench_Prev;prop U prop;prop U prop;2
The scenario in which (prop_3) happens and then (prop_2) , should be equivalent to the scenario in which (prop_1) is always true .;( ( prop_3 -> prop_2 ) <-> G prop_1 );(prop_3 -> prop_2) <-> Gprop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_2 -> ap_1) <-> Gap_0;lifted_data_pureLTL.jsonl;(prop -> prop) <-> Gprop;(prop -> prop) <-> Gprop;2
sooner or later a table is brown and the bar is down and, at a certain moment both the manager collect claims and the semaphore is broken afterwards;G(!( table_is_brown & bar_is_down )) | F(( table_is_brown & bar_is_down ) & F( manager_collect_claims & semaphore_is_broken ));G!(bar_is_down & table_is_brown) | F(bar_is_down & table_is_brown & F(manager_collect_claims & semaphore_is_broken));['table_is_brown', 'manager_collect_claims', 'semaphore_is_broken', 'bar_is_down'];sooner or later a table_is_brown and the bar_is_down and, at a certain moment both the manager_collect_claims and the semaphore_is_broken afterwards;;{'table_is_brown': 'ap_0', 'manager_collect_claims': 'ap_1', 'semaphore_is_broken': 'ap_2', 'bar_is_down': 'ap_3'};G!(ap_3 & ap_0) | F(ap_3 & ap_0 & F(ap_1 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop & prop));G!(prop & prop) | F(prop & prop & F(prop & prop));2
at some point the semaphore is yellow after either the constructor instantiate objects or the bar is up;G(( constructor_instantiate_objects | bar_is_up ) -> F( semaphore_is_yellow ));G((bar_is_up | constructor_instantiate_objects) -> Fsemaphore_is_yellow);['bar_is_up', 'constructor_instantiate_objects', 'semaphore_is_yellow'];at some point the semaphore_is_yellow after either the constructor_instantiate_objects or the bar_is_up;;{'bar_is_up': 'ap_0', 'constructor_instantiate_objects': 'ap_1', 'semaphore_is_yellow': 'ap_2'};G((ap_0 | ap_1) -> Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);2
In the case ( prop_3 ) , or ( prop_2 ) then at the same time ( prop_4 ) , or instantly ( prop_1 ) .;G ( ( prop_3 | prop_2 ) -> ( prop_4 | prop_1 ) );G((prop_2 | prop_3) -> (prop_1 | prop_4));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_1 | ap_2) -> (ap_0 | ap_3));lifted_data_pureLTL.jsonl;G((prop | prop) -> (prop | prop));G((prop | prop) -> (prop | prop));2
If idle holds, then in the next step pickup the oven persists until calling for help holds, or else pickup the oven holds forever.;"""idle"" -> X ( ( pickup_oven U ""get_help"" ) | G pickup_oven )";"idle -> X((""pickup(oven)"" U get_help) | G""pickup(oven)"")";['get_help', 'idle', 'pickup_oven'];;;;ap_1 -> X((ap_2 U ap_0) | Gap_2);VLTL-Bench_New;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);2
Both go_home and avoid the probable_flood hold at every step.;"G ( ""go_home"" & avoid_probable_flood )";"G(""avoid(probable_flood)"" & go_home)";['avoid_probable_flood', 'go_home'];;;;G(ap_0 & ap_1);VLTL-Bench_New;G(prop & prop);G(prop & prop);2
Once avoid the nearest_unstable_beam has occurred, avoid the impending_debris will never occur again.;G ( avoid_nearest_unstable_beam -> X G ! avoid_impending_debris );"G(""avoid(nearest_unstable_beam)"" -> XG!""avoid(impending_debris)"")";['avoid_nearest_unstable_beam', 'avoid_impending_debris'];;;;G(ap_0 -> XG!ap_1);VLTL-Bench_New;G(prop -> XG!prop);G(prop -> XG!prop);2
repeatedly ( prop_1 ) or at some time ( prop_2 );G ( F prop_1 | F prop_2 );G(Fprop_1 | Fprop_2);['prop_1', 'prop_2'];;;;G(Fap_0 | Fap_1);lifted_data_pureLTL.jsonl;G(Fprop | Fprop);G(Fprop | Fprop);2
Keep having (prop_1) if (prop_2) occurs and continue this until (prop_3) does not happen.;( ( prop_2 -> prop_1 ) U ! prop_3 );(prop_2 -> prop_1) U !prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 -> ap_0) U !ap_2;lifted_data_pureLTL.jsonl;(prop -> prop) U !prop;(prop -> prop) U !prop;2
The scenario that ( prop_3 ) and ( prop_1 ) should always be detected until ( prop_2 ) is true at some time in the future , and ( prop_4 ) shoud be true .;( ( ( prop_3 & prop_1 ) U prop_2 ) & prop_4 );prop_4 & ((prop_1 & prop_3) U prop_2);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 & ((ap_0 & ap_2) U ap_1);lifted_data_pureLTL.jsonl;prop & ((prop & prop) U prop);prop & ((prop & prop) U prop);2
For all time (prop_2) is true, and either (prop_1) or (prop_3) is true .;( G prop_2 & ( prop_1 | prop_3 ) );(prop_1 | prop_3) & Gprop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 | ap_2) & Gap_1;lifted_data_pureLTL.jsonl;(prop | prop) & Gprop;(prop | prop) & Gprop;2
Wait and search the apple never coincide, yet one of them is always true.;"G ( ! ( ""idle"" & search_apple ) ) & G ( ""idle"" | search_apple )";"G!(idle & ""search(apple)"") & G(idle | ""search(apple)"")";['idle', 'search_apple'];;;;G!(ap_0 & ap_1) & G(ap_0 | ap_1);VLTL-Bench_New;G!(prop & prop) & G(prop | prop);G!(prop & prop) & G(prop | prop);2
This controller must eventually, avoid pickup the aeroplane.;F ( ! pickup_aeroplane );"F!""pickup(aeroplane)""";['pickup_aeroplane'];;;;F!ap_0;VLTL-Bench_New;F!prop;F!prop;2
Do not let (prop_2) happen until both (prop_1) and (prop_3) happen at the same time.;( ! prop_2 U ( prop_1 & prop_3 ) );!prop_2 U (prop_1 & prop_3);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 U (ap_0 & ap_2);lifted_data_pureLTL.jsonl;!prop U (prop & prop);!prop U (prop & prop);2
it will not happen that the house is built, the elevator is open and a train has arrived;G(!( house_is_built & elevator_is_open & train_has_arrived ));G!(elevator_is_open & house_is_built & train_has_arrived);['house_is_built', 'elevator_is_open', 'train_has_arrived'];it will not happen that the house_is_built, the elevator_is_open and a train_has_arrived;;{'house_is_built': 'ap_0', 'elevator_is_open': 'ap_1', 'train_has_arrived': 'ap_2'};G!(ap_1 & ap_0 & ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop & prop);G!(prop & prop & prop);2
It is necessary that either the scenario in which ( prop_1 ) is not the case and then ( prop_2 ) , or ( prop_3 ) .;( ( ! prop_1 -> prop_2 ) | prop_3 );prop_3 | (!prop_1 -> prop_2);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 | (!ap_0 -> ap_1);lifted_data_pureLTL.jsonl;prop | (!prop -> prop);prop | (!prop -> prop);2
at any time go_to transh can until never drop orange;F ( go_to_transh_can ) U G ( ! ( drop_orange ) );"F""go_to(transh_can)"" U G!""drop(orange)""";['drop_orange', 'go_to_transh_can'];;;;Fap_1 U G!ap_0;VLTL-Bench_Prev;Fprop U G!prop;Fprop U G!prop;2
at any time ( prop_1 ) and when possible ( prop_2 );F ( prop_1 & F prop_2 );F(prop_1 & Fprop_2);['prop_1', 'prop_2'];;;;F(ap_0 & Fap_1);lifted_data_pureLTL.jsonl;F(prop & Fprop);F(prop & Fprop);2
Set light_west green and record the motorcycle on southeast_7th_avenue never coincide, yet one of them is always true.;G ( ! ( change_light_west_green & record_motorcycle_southeast_7th_avenue ) ) & G ( change_light_west_green | record_motorcycle_southeast_7th_avenue );"G!(""change(light_west,green)"" & ""record(motorcycle,southeast_7th_avenue)"") & G(""change(light_west,green)"" | ""record(motorcycle,southeast_7th_avenue)"")";['change_light_west_green', 'record_motorcycle_southeast_7th_avenue'];;;;G!(ap_0 & ap_1) & G(ap_0 | ap_1);VLTL-Bench_New;G!(prop & prop) & G(prop | prop);G!(prop & prop) & G(prop | prop);2
at any time ( prop_1 ) and repeatedly ( prop_2 );F ( prop_1 & G ( F prop_2 ) );F(prop_1 & GFprop_2);['prop_1', 'prop_2'];;;;F(ap_0 & GFap_1);lifted_data_pureLTL.jsonl;F(prop & GFprop);F(prop & GFprop);2
Either pickup the fork or idle happens infinitely often.;"G F pickup_fork | G F ""idle""";"GF""pickup(fork)"" | GFidle";['idle', 'pickup_fork'];;;;GFap_1 | GFap_0;VLTL-Bench_New;GFprop | GFprop;GFprop | GFprop;2
Globally , everytime when ( prop_4 ) and ( prop_1 ) then all of the following conditions hold : ( prop_3 ) and ( prop_2 ) .;G ( ( prop_4 & prop_1 ) -> ( prop_3 & prop_2 ) );G((prop_1 & prop_4) -> (prop_2 & prop_3));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_0 & ap_3) -> (ap_1 & ap_2));lifted_data_pureLTL.jsonl;G((prop & prop) -> (prop & prop));G((prop & prop) -> (prop & prop));2
eventually, the train has arrived and, at some point in time the car stops or a motorbike has started afterwards;G(!( train_has_arrived )) | F(( train_has_arrived ) & F( car_stops | motorbike_has_started ));G!train_has_arrived | F(train_has_arrived & F(car_stops | motorbike_has_started));['car_stops', 'motorbike_has_started', 'train_has_arrived'];eventually, the train_has_arrived and, at some point in time the car_stops or a motorbike_has_started afterwards;;{'car_stops': 'ap_0', 'motorbike_has_started': 'ap_1', 'train_has_arrived': 'ap_2'};G!ap_2 | F(ap_2 & F(ap_0 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop | prop));G!prop | F(prop & F(prop | prop));2
Either (prop_1) or (prop_2) should happen, or else keep (prop_3) for all time .;( ( prop_1 | prop_2 ) | G prop_3 );prop_1 | prop_2 | Gprop_3;['prop_1', 'prop_2', 'prop_3'];;;;ap_0 | ap_1 | Gap_2;lifted_data_pureLTL.jsonl;prop | prop | Gprop;prop | prop | Gprop;2
take_to trash can and when possible capture pear;take_to_trash_can & F ( capture_pear );"""take_to(trash_can)"" & F""capture(pear)""";['capture_pear', 'take_to_trash_can'];;;;ap_1 & Fap_0;VLTL-Bench_Prev;prop & Fprop;prop & Fprop;2
enter the green_room by any room that is not red;"( F ( ""green_room"" ) & G ( ! ""red_room"" ) )";Fgreen_room & G!red_room;['red_room', 'green_room'];;;;Fap_1 & G!ap_0;VLTL-Bench_Prev;Fprop & G!prop;Fprop & G!prop;2
every time the bar has to be repaired and the engine stops then at no time both the engine breaks and the bar is closing;G(( bar_has_to_be_repaired & engine_stops ) -> G(!( engine_breaks & bar_is_closing )));G((bar_has_to_be_repaired & engine_stops) -> G!(bar_is_closing & engine_breaks));['bar_is_closing', 'bar_has_to_be_repaired', 'engine_breaks', 'engine_stops'];every time the bar_has_to_be_repaired and the engine_stops then at no time both the engine_breaks and the bar_is_closing;;{'bar_is_closing': 'ap_0', 'bar_has_to_be_repaired': 'ap_1', 'engine_breaks': 'ap_2', 'engine_stops': 'ap_3'};G((ap_1 & ap_3) -> G!(ap_0 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop & prop));G((prop & prop) -> G!(prop & prop));2
If get_help holds, then in the next step pickup the book persists until search the cake holds, or else pickup the book holds forever.;"""get_help"" -> X ( ( pickup_book U search_cake ) | G pickup_book )";"get_help -> X((""pickup(book)"" U ""search(cake)"") | G""pickup(book)"")";['get_help', 'pickup_book', 'search_cake'];;;;ap_0 -> X((ap_1 U ap_2) | Gap_1);VLTL-Bench_New;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);2
Make sure you do not (prop_2) until (prop_1).;( ! prop_2 ) U prop_1;!prop_2 U prop_1;['prop_1', 'prop_2'];;;;!ap_1 U ap_0;lifted_data_pureLTL.jsonl;!prop U prop;!prop U prop;2
Do ( prop_1 ) and ( prop_2 ) simultaneously, and make sure that ( prop_4 ) happens if and only if ( prop_3 ) happens.;( ( prop_1 & prop_2 ) & ( prop_4 <-> prop_3 ) );prop_1 & prop_2 & (prop_3 <-> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 & ap_1 & (ap_2 <-> ap_3);lifted_data_pureLTL.jsonl;prop & prop & (prop <-> prop);prop & prop & (prop <-> prop);2
at a certain moment a sensor gathers information and, in the future the engine stops or the train is crossing afterwards;G(!( sensor_gathers_information )) | F(( sensor_gathers_information ) & F( engine_stops | train_is_crossing ));G!sensor_gathers_information | F(sensor_gathers_information & F(engine_stops | train_is_crossing));['train_is_crossing', 'sensor_gathers_information', 'engine_stops'];at a certain moment a sensor_gathers_information and, in the future the engine_stops or the train_is_crossing afterwards;;{'train_is_crossing': 'ap_0', 'sensor_gathers_information': 'ap_1', 'engine_stops': 'ap_2'};G!ap_1 | F(ap_1 & F(ap_2 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop | prop));G!prop | F(prop & F(prop | prop));2
If (prop_3) is going to happen, make sure that (prop_2) and (prop_1) are equivalent .;( F prop_3 -> ( prop_2 <-> prop_1 ) );Fprop_3 -> (prop_1 <-> prop_2);['prop_1', 'prop_2', 'prop_3'];;;;Fap_2 -> (ap_0 <-> ap_1);lifted_data_pureLTL.jsonl;Fprop -> (prop <-> prop);Fprop -> (prop <-> prop);2
when never ( prop_1 ) , when possible ( prop_2 );( G ( ! prop_1 ) -> F prop_2 );G!prop_1 -> Fprop_2;['prop_1', 'prop_2'];;;;G!ap_0 -> Fap_1;lifted_data_pureLTL.jsonl;G!prop -> Fprop;G!prop -> Fprop;2
This controller must always have either photo the cyclist on west_8th_street or photo the car on west_5th_avenue.;G ( photo_cyclist_west_8th_street | photo_car_west_5th_avenue );"G(""photo(car,west_5th_avenue)"" | ""photo(cyclist,west_8th_street)"")";['photo_car_west_5th_avenue', 'photo_cyclist_west_8th_street'];;;;G(ap_0 | ap_1);VLTL-Bench_New;G(prop | prop);G(prop | prop);2
at some time migrate_to tree or repeatedly grab tree;F ( migrate_to_tree ) | G ( F ( grab_tree ) );"F""migrate_to(tree)"" | GF""grab(tree)""";['migrate_to_tree', 'grab_tree'];;;;Fap_0 | GFap_1;VLTL-Bench_Prev;Fprop | GFprop;Fprop | GFprop;2
