Index,Requirement,Ground Truth,Response,Equivalent
6143,Avoid entering parking_lot_4 until you have reached building_8,!parking_lot_4 U building_8,G (!parking_lot_4 U building_8),False
6144,if the engine stops or the train stops then it is going to happen that either an elevator falls or the motorbike catches fire,G((engine_stops | train_stops) -> F(elevator_falls | motorbike_catches_fire)),G ((engine_stops | train_stops) -> F (elevator_falls | motorbike_catches_fire)),True
6145,Do not go to intersection 8 until you reach street 3 as you go to locality 5,(!intersection_8 U street_3) & F locality_5,G (!intersection_8 U (street_3 & G locality_5)),False
6146,Do not approach building_3 until you reach street_6 as you bring box_8 from store_3 to house_2,(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd))),G (p_box_8 -> (!building_3 W street_6)),False
6147,repeatedly go_to apple trashcan or at any time clutch orange,GF go_to_apple_trashcan | F clutch_orange,G F (go_to_apple_trashcan | clutch_orange),False
6148,"Whenever get_help holds, from the next step onwards avoid the nearest_gas_leak will eventually hold.",G(get_help -> XF avoid_nearest_gas_leak),G(get_help -> X G(!avoid_nearest_gas_leak)),False
6149,at some time get_to flag until keep apple,F get_to_flag U keep_apple,F (get_to_flag U keep_apple),False
6150,"When change light_west green happens, get_help must hold now or in the next step.",G(change_light_west_green -> (get_help | X get_help)),G (change_light_west_green -> (get_help | X get_help)),True
6151,at some time travel_by tree or never let_go apple,F travel_by_tree | G!let_go_apple,F (travel_by_tree | !let_go_apple),False
6152,"Transport the frisbee to the shelf should always hold, with at most a two-step grace period for recovery.",!G!(deliver_frisbee_shelf & X deliver_frisbee_shelf),G deliver_frisbee_shelf | X (deliver_frisbee_shelf | X deliver_frisbee_shelf),False
6153,"If deliver_aid the safe_victim holds and record injured_person holds next, then deliver_aid the injured_hostile holds in the step after that.",G((deliver_aid_safe_victim & X record_injured_person) -> XX deliver_aid_injured_hostile),G (deliver_aid_safe_victim & record_injured_person) -> (X (record_injured_person) -> XX deliver_aid_injured_hostile),False
6154,"it is going to happen that either the escalator speeds up, the brake is released or a train has been launched",F(brake_is_released | escalator_speeds_up | train_has_been_launched),F (escalator_speeds_up | brake_is_released | train_has_been_launched),True
6155,Do not go to room 2 before retrieving bottle 4 from kitchen 1 and putting it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G (!room_2 U (kitchen_1 & p_bottle_4 & table_4)),False
6156,"From some point onwards, idle never occurs again.",FG!idle,G F !idle,False
6157,"Whenever get_help and record the cyclist on southwest_10th_avenue are equal, record the cyclist on southwest_10th_avenue and record the jaywalker on east_9th_street are equal as well.",G((get_help <-> record_cyclist_southwest_10th_avenue) -> (record_cyclist_southwest_10th_avenue <-> record_jaywalker_east_9th_street)),G((get_help <-> record_cyclist_southwest_10th_avenue) -> (record_cyclist_southwest_10th_avenue <-> record_jaywalker_east_9th_street)),True
6158,Keep capturing photos of statue_4 and also keep returning to charger_4,GF(photo & statue_4) & GF charger_4,G(photo & statue_4) & G(charger_4),False
6159,at any time grab orange or forever touch flag,F grab_orange | G touch_flag,G(grab_orange | G(touch_flag)),False
6160,"Once avoid the probable_flood has occurred, record flood will never occur again.",G(avoid_probable_flood -> XG!record_flood),G(avoid_probable_flood -> G(!record_flood)),False
6161,"Globally, if go_home occurs then finally deliver_aid the safe_hostile happens.",G(go_home -> F deliver_aid_safe_hostile),G (go_home -> F deliver_aid_safe_hostile),True
6162,"first, eventually, either the bridge closes or the escalator is blocked, and then, at a certain moment the train has arrived and the bridge closes",G!(bridge_closes | escalator_is_blocked) | F((bridge_closes | escalator_is_blocked) & F(bridge_closes & train_has_arrived)),F (bridge_closes | escalator_is_blocked) & F (train_has_arrived & bridge_closes),False
6163,"as a semaphore is yellow, at some point the sensor captures data",G(semaphore_is_yellow -> F sensor_captures_data),G (semaphore_is_yellow -> F sensor_captures_data),True
6164,"Avoid entering street_5 until you reach store_1, and ensure that you eventually at store_1 and pickup package_4",(!street_5 U store_1) & F(p_package_4 & store_1),!street_5 U (store_1 & p_package_4) & F (store_1 & p_package_4),False
6165,Never enter parking_lot_8 as you reach street_5,G!parking_lot_8 & F street_5,G(street_5 -> !parking_lot_8),False
6166,Ensure you never pickup either cone_1 or cone_2,G!(p_cone_1 | p_cone_2),G(!p_cone_1 & !p_cone_2),True
6167,"At every step, photo unsafe_victim equals the value of get_help in the next step.",G(photo_unsafe_victim <-> X get_help),G(photo_unsafe_victim <-> X(get_help)),True
6168,Keep taking crate_1 from storage_4 to office_2,GF(storage_4 & F(p_crate_1 & F(office_2 & pd))),G (storage_4 & p_crate_1 -> X (office_2 & p_crate_1)),False
6169,"Whenever get_help holds, eventually photo the person on east_9th_avenue will hold.",G(get_help -> F photo_person_east_9th_avenue),G(get_help -> F(photo_person_east_9th_avenue)),True
6170,You must always maintain both avoid the probable_unstable_beam and communicate the injured_victim.,G(avoid_probable_unstable_beam & communicate_injured_victim),G(avoid_probable_unstable_beam & communicate_injured_victim),True
6171,"whenever the bar is up or an elevator rises then always, the brake is released or the motorbike has started",G((bar_is_up | elevator_rises) -> G(brake_is_released | motorbike_has_started)),G ((bar_is_up | elevator_rises) -> G (brake_is_released | motorbike_has_started)),True
6172,"At every step, record the vehicle on southeast_2nd_street equals the value of get_help in the next step.",G(record_vehicle_southeast_2nd_street <-> X get_help),G(record_vehicle_southeast_2nd_street <-> X get_help),True
6173,"If record unsafe_rescuer ever holds, communicate the injured_victim must have held beforehand.",F record_unsafe_rescuer -> (!record_unsafe_rescuer U (communicate_injured_victim & !record_unsafe_rescuer)),G(record_unsafe_rescuer -> !record_unsafe_rescuer U communicate_injured_victim),False
6174,"eventually, a sensor retrieves data or a table is brown and, at a certain moment both a train has arrived and the manager handles requests afterwards",G!(sensor_retrieves_data | table_is_brown) | F((sensor_retrieves_data | table_is_brown) & F(manager_handles_requests & train_has_arrived)),F (sensor_retrieves_data | table_is_brown) & F (train_has_arrived & X manager_handles_requests),False
6175,never drop apple or secure apple,secure_apple | G!drop_apple,G(!drop_apple & !secure_apple),False
6176,Never leave area_5,G area_5,G area_5,True
6177,always both the motorbike has stopped and the sensor gathers information implies that it will not happen that both a train is crossing and the bar has to be repaired,G((motorbike_has_stopped & sensor_gathers_information) -> G!(bar_has_to_be_repaired & train_is_crossing)),G ((motorbike_has_stopped & sensor_gathers_information) -> !F (train_is_crossing & bar_has_to_be_repaired)),True
6178,"When photo the person on south_5th_avenue happens, photo the pedestrian on northwest_10th_street must hold now or in the next step.",G(photo_person_south_5th_avenue -> (photo_pedestrian_northwest_10th_street | X photo_pedestrian_northwest_10th_street)),G(photo_person_south_5th_avenue -> (photo_pedestrian_northwest_10th_street | X photo_pedestrian_northwest_10th_street)),True
6179,procure apple and hold pear,hold_pear & procure_apple,F (procure_apple & G hold_pear),False
6180,Our agent must eventually search the fork or idle.,F(idle | search_fork),F (search_fork | idle),True
6181,at any time start_going_to tree and don't pick_up anything,F start_going_to_tree & !F pick_up_anything,G(start_going_to_tree -> !pick_up_anything),False
6182,it is going to happen that the semaphore is red and the engine stops,F(engine_stops & semaphore_is_red),F (semaphore_is_red & engine_stops),True
6183,it is never the case that either the engine starts or a car stops,G!(car_stops | engine_starts),G!((engine_starts)|(car_stops)),True
6184,Ensure you repeatedly photograph area_9 while regularly moving ordnance_3 from camp_4 to camp_9,GF(area_9 & photo) & GF(camp_4 & F(p_ordnance_3 & F(camp_9 & pd))),G(photo & area_9) & G(p_ordnance_3 & camp_4 -> X(p_ordnance_3 & camp_9)),False
6186,grasp orange and grasp orange,grasp_orange,F grasp_orange & F grasp_orange,False
6187,"When get_help happens, search the surfboard must hold now or in the next step.",G(get_help -> (search_surfboard | X search_surfboard)),G (get_help -> (search_surfboard | X search_surfboard)),True
6188,"Whenever pickup the potted_plant and deliver the bed to the loading_dock are equal, deliver the bed to the loading_dock and get_help are equal as well.",G((deliver_bed_loading_dock <-> pickup_potted_plant) -> (deliver_bed_loading_dock <-> get_help)),G((pickup_potted_plant <-> deliver_bed_loading_dock) -> (deliver_bed_loading_dock <-> get_help)),True
6189,whenever go_by waste basket and venture_towards house,venture_towards_house & F go_by_waste_basket,G (go_by_waste_basket & venture_towards_house),False
6190,at the green_room then at the yellow_room,F(green_room & F yellow_room),F (green_room & X yellow_room),False
6191,Change light_south red and record the pedestrian on southeast_8th_avenue are mutually exclusive at all times.,G!(change_light_south_red & record_pedestrian_southeast_8th_avenue),G !(change_light_south_red & record_pedestrian_southeast_8th_avenue),True
6192,stop_by flag or at any time get_to cup,stop_by_flag | F get_to_cup,G(stop_by_flag | get_to_cup),False
6193,"Whenever search the suitcase holds, idle holds as well.",G(search_suitcase -> idle),G(search_suitcase -> idle),True
6194,it is always true that the semaphore is broken,G semaphore_is_broken,G semaphore_is_broken,True
6195,Request assistance and search the fire_hydrant are mutually exclusive at all times.,G!(get_help & search_fire_hydrant),G(!(get_help & search_fire_hydrant)),True
6196,at any time walk_near flag and whenever proceed_to house,F walk_near_flag & F proceed_to_house,G(walk_near_flag & (proceed_to_house -> F walk_near_flag)),False
6197,"If every deliver the fire_hydrant to the shelf is eventually followed by deliver the vase to the loading_dock, then idle must occur infinitely often.",G(deliver_fire_hydrant_shelf -> F deliver_vase_loading_dock) -> GF idle,G((G(deliver_fire_hydrant_shelf -> F deliver_vase_loading_dock)) -> G F idle),False
6198,Always remain in street 8,G street_8,G street_8,True
6199,whenever both the elevator falls and the escalator speeds up then all the time the semaphore is green or a sensor retrieves data,G((elevator_falls & escalator_speeds_up) -> G(semaphore_is_green | sensor_retrieves_data)),G((elevator_falls & escalator_speeds_up) -> G(semaphore_is_green | sensor_retrieves_data)),True
6200,Remove cone 5 from parking lot 2 and place it in street 1,F(parking_lot_2 & F(p_cone_5 & F(pd & street_1))),G (!p_cone_5 & parking_lot_2) U (p_cone_5 & street_1),False
6201,it is going to happen that the table is brown or the car enters or the brake is pressed,F(brake_is_pressed | car_enters | table_is_brown),F (table_is_brown | car_enters | brake_is_pressed),True
6202,"after the brake is released or the escalator is blocked, forever, both the bar has to be repaired and a bridge opens",G((brake_is_released | escalator_is_blocked) -> G(bar_has_to_be_repaired & bridge_opens)),G ((brake_is_released | escalator_is_blocked) -> G (bar_has_to_be_repaired & bridge_opens)),True
6203,if either the bar has to be repaired or the bar is up then at any time the semaphore is yellow,G((bar_has_to_be_repaired | bar_is_up) -> G semaphore_is_yellow),G((bar_has_to_be_repaired | bar_is_up) -> (semaphore_is_yellow -> G semaphore_is_yellow)),False
6204,Pick up trash_can_4 from house_1 and deliver it to gabage dump 3,F(house_1 & F(p_trash_can_4 & F(garbage_dump_3 & pd))),G (house_1 & p_trash_can_4 -> F (garbage_dump_3 & pd)),False
6205,"it will not happen that either a motorbike has started, a house is open or the brake is pressed",G!(brake_is_pressed | house_is_open | motorbike_has_started),G!((motorbike_has_started | house_is_open | brake_is_pressed)),True
6206,Drop off the sofa to the shelf and pickup the sheep are mutually exclusive at all times.,G!(deliver_sofa_shelf & pickup_sheep),G(!(pickup_sheep & deliver_sofa_shelf)),True
6207,when possible withdraw pear or at some time move_near tree,F withdraw_pear | F move_near_tree,F (withdraw_pear | move_near_tree),True
6208,"Do not enter building 3 before arriving at street 6, while ensuring you take box 8 from store 3 to house 2",(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd))),G(!building_3 U street_6) & G(!p_box_8 U store_3) & G(p_box_8 U house_2) & G(p_box_8 -> (p_box_8 U house_2)),False
6209,enter the blue_room by going though the green_room,F(green_room & F blue_room),F (green_room & X blue_room),False
6210,whenever move_near tree and always have_in orange,F move_near_tree & G have_in_orange,G (move_near_tree -> G have_in_orange),False
6211,Reach garage 4 before going to building 3 and stay there indefinitely,F(garage_4 & F(building_3 & G building_3)),F (garage_4 & !building_3 & G garage_4) & !building_3 U garage_4,False
6212,Take a video of the vehicle on east_9th_street and get_help will each happen at some point.,F record_vehicle_east_9th_street & F get_help,F record_vehicle_east_9th_street & F get_help,True
6213,Persistently take crate_4 from warehouse_3 to store_9 while consistently visiting charger_3,GF(warehouse_3 & F(p_crate_4 & F(pd & store_9))) & GF charger_3,G (p_crate_4 & warehouse_3 & charger_3 & store_9),False
6214,under no condition the car stops or a house collapses after the bar is up and a motorbike has stopped,G((bar_is_up & motorbike_has_stopped) -> G!(car_stops | house_collapses)),G ! ( (bar_is_up & motorbike_has_stopped) -> F (car_stops | house_collapses) ),False
6215,at any time journey_to house or repeatedly go_to waste basket,F journey_to_house | GF go_to_waste_basket,G(journey_to_house | F(go_to_waste_basket & G(go_to_waste_basket))),False
6216,The system must Please avoid the active_fire_source and then go_home.,avoid_active_fire_source U go_home,G (!avoid_active_fire_source -> X (avoid_active_fire_source U go_home)),False
6217,Never come into contact with package 4,G!p_package_4,G!p_package_4,True
6218,The system must always avoid changeing light_west green.,G!change_light_west_green,G!change_light_west_green,True
6219,under no condition the bar has to be repaired and a table is brown,G!(bar_has_to_be_repaired & table_is_brown),G(!bar_has_to_be_repaired & table_is_brown),False
6220,Photograph the car on southeast_1st_avenue can only happen after change light_west green.,!photo_car_southeast_1st_avenue U change_light_west_green,G (!photo_car_southeast_1st_avenue W change_light_west_green),False
6221,"If get_help happens infinitely often, then so does record the motorcycle on southwest_8th_street.",GF get_help -> GF record_motorcycle_southwest_8th_street,G(F get_help -> G F record_motorcycle_southwest_8th_street),False
6222,forever moving or advance_to tree,advance_to_tree | G moving,G(moving | advance_to_tree),False
6223,"This controller must eventually, avoid recording gas_leak.",F!record_gas_leak,F !record_gas_leak,True
6224,"If photo the car on east_5th_avenue holds, then in the next step photo the motorcycle on north_6th_street persists until get_help holds, or else photo the motorcycle on north_6th_street holds forever.",photo_car_east_5th_avenue -> X((photo_motorcycle_north_6th_street U get_help) | G photo_motorcycle_north_6th_street),photo_car_east_5th_avenue -> (X (photo_motorcycle_north_6th_street U get_help) | G photo_motorcycle_north_6th_street),False
6225,always moving or at some time move_near tree,G moving | F move_near_tree,G(moving | F move_near_tree),False
6226,"eternally, the engine breaks or the elevator is open",G(elevator_is_open | engine_breaks),G(engine_breaks | elevator_is_open),True
6227,"eventually, either the escalator moves or the brake is pressed and, in the future both the semaphore is green and a train stops afterwards",G!(brake_is_pressed | escalator_moves) | F((brake_is_pressed | escalator_moves) & F(semaphore_is_green & train_stops)),F (escalator_moves | (brake_is_pressed & F (semaphore_is_green & X train_stops))),False
6228,in any case a motorbike has started and together the engine stops and a train stops,G(engine_stops & motorbike_has_started & train_stops),G (motorbike_has_started -> (engine_stops & train_stops)),False
6229,Our agent must eventually record flood and deliver_aid the injured_victim.,F(deliver_aid_injured_victim & record_flood),F (record_flood & deliver_aid_injured_victim),True
6230,at any time collect orange or repeatedly make_way_to house,F collect_orange | GF make_way_to_house,G(collect_orange | G(make_way_to_house)),False
6231,reach house until advance_to tree,reach_house U advance_to_tree,reach_house U advance_to_tree,True
6232,whenever the house is built and a train derails then it is always true that both a semaphore is yellow and the train stops,G((house_is_built & train_derails) -> G(semaphore_is_yellow & train_stops)),G((house_is_built & train_derails) -> G(semaphore_is_yellow & train_stops)),True
6233,"Wait must hold until delivering the refrigerator to the shelf does, or else idle holds forever.",(idle U deliver_refrigerator_shelf) | G idle,G (wait -> (wait U deliver_refrigerator_shelf)) & G (!deliver_refrigerator_shelf -> G idle),False
6234,whenever the engine starts or the bar has to be repaired then at some point a house collapses and a car stops,G((bar_has_to_be_repaired | engine_starts) -> F(car_stops & house_collapses)),G ((engine_starts | bar_has_to_be_repaired) -> F (house_collapses & car_stops)),True
6235,"first, in the future a train derails and a house is built, and then, at a certain moment a house is built or a bridge opens",G!(house_is_built & train_derails) | F(house_is_built & train_derails & F(bridge_opens | house_is_built)),F (train_derails & house_is_built & F (house_is_built | bridge_opens)),False
6236,Keep revisiting car_3 on your path to eventually reaching building_2,GF car_3 & F building_2,G(car_3 -> F(building_2)) & G(building_2 -> F(car_3)),False
6237,take_to tree and repeatedly go_to waste basket,take_to_tree & GF go_to_waste_basket,G (take_to_tree -> X (go_to_waste_basket & G (go_to_waste_basket))),False
6238,at some time pass_by house or approach tree,approach_tree | F pass_by_house,F (pass_by_house | approach_tree),False
6239,all the time the escalator is blocked or a motorbike is driven or a motorbike falls down,G(escalator_is_blocked | motorbike_falls_down | motorbike_is_driven),G(escalator_is_blocked | motorbike_is_driven | motorbike_falls_down),True
6240,do not let_go orange and at some time go_to transh can,!let_go_orange & F go_to_transh_can,G !let_go_orange & F go_to_transh_can,False
6241,go green or yellow to red,F((green_room | yellow_room) & F red_room),F (green_room | yellow_room) -> F red_room,False
6242,"when move_to trash can , hold apple",move_to_trash_can -> hold_apple,G (move_to_trash_can -> hold_apple),False
6243,Go to house_2 to pickup trash_can_2,F(house_2 & p_trash_can_2),F (house_2 & p_trash_can_2),True
6244,Repeatedly take brochure 8 from table 2 to street 9 while consistently visiting charger 6,GF(table_2 & F(p_brochure_8 & F(pd & street_9))) & GF charger_6,G (p_brochure_8 & table_2 & street_9 & charger_6),False
6245,at some time make_contact flag or when possible advance_to house,F make_contact_flag | F advance_to_house,F (make_contact_flag | advance_to_house),True
6246,"at some point the bridge closes and, it is going to happen that either the table is brown or the motorbike has started afterwards",G!bridge_closes | F(bridge_closes & F(motorbike_has_started | table_is_brown)),F (bridge_closes & F (table_is_brown | motorbike_has_started)),False
6247,"after the elevator rises and the train is crossing, at a certain moment a semaphore is yellow",G((elevator_rises & train_is_crossing) -> F semaphore_is_yellow),G (elevator_rises & train_is_crossing) -> F semaphore_is_yellow,False
6248,Keep returning to charging station 9 as you keep transporting crate 4 from warehouse 5 to mall 4,GF charging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd))),G (p_crate_4 & warehouse_5 -> F (p_crate_4 & mall_4)) & G (p_crate_4 -> F charging_station_9),False
6249,Persistently taking crate 6 to building 5 after picking it up from store 2,GF(store_2 & F(p_crate_6 & F(building_5 & pd))),G (p_crate_6 & store_2 -> G (p_crate_6 -> F (p_crate_6 & building_5))),False
6250,Ensure you continuously visit charger 6 and repeatedly pick up brochure 4 from table 4,GF charger_6 & GF(p_brochure_4 & table_4),G(charger_6) & G F(p_brochure_4),False
6251,"Globally, if idle occurs then finally pickup the tv_monitor happens.",G(idle -> F pickup_tv_monitor),G (idle -> F pickup_tv_monitor),True
6252,Always remain in street_5 while continuously taking pictures of parking_lot_4,G street_5 & GF(parking_lot_4 & photo),G(street_5 & photo),False
6253,it is never the case that both a train has arrived and a semaphore is red,G!(semaphore_is_red & train_has_arrived),G! (semaphore_is_red & train_has_arrived),True
6254,"after the car starts and a house is open, at some point in time either a train derails or the engine starts",G((car_starts & house_is_open) -> F(engine_starts | train_derails)),G ( (car_starts & house_is_open) -> F (train_derails | engine_starts) ),True
6255,Every deliver_aid the injured_rescuer is directly followed by calling for help in the next step.,G(deliver_aid_injured_rescuer -> X get_help),G(deliver_aid_injured_rescuer -> X get_help),True
6256,"Eventually at building_9 and remain there permanently, but do not enter building_9 before reaching street_6",FG building_9 & (!building_9 U street_6),!building_9 U street_6 & (street_6 U building_9) & G building_9,False
6257,"At every step, pickup the handbag equals the value of pickup the motorbike in the next step.",G(pickup_handbag <-> X pickup_motorbike),G(pickup_handbag <-> X(pickup_motorbike)),True
6258,"at some point either a table is brown or the motorbike has started and, it is going to happen that either the bridge closes or a semaphore is broken afterwards",G!(motorbike_has_started | table_is_brown) | F((motorbike_has_started | table_is_brown) & F(bridge_closes | semaphore_is_broken)),F ((table_is_brown | motorbike_has_started) & F (bridge_closes | semaphore_is_broken)),False
6259,Find the tennis_racket and pickup the mouse are mutually exclusive at all times.,G!(pickup_mouse & search_tennis_racket),G(!(search_tennis_racket & pickup_mouse)),True
6260,"eventually, the elevator falls and together a bridge opens and a bridge closes",F(bridge_closes & bridge_opens & elevator_falls),F (elevator_falls & bridge_opens & bridge_closes),True
6261,"Whenever get_help holds, go_home holds exactly three steps later.",G(get_help -> XXX go_home),G(get_help -> X(X(X(go_home)) & !X(go_home) & !X(X(go_home)))),False
6262,Always stay away from parking lot 5 while persistently taking pictures of car 9,G!parking_lot_5 & GF(car_9 & photo),G(!parking_lot_5 & photo),False
6263,take_to tree and always go_by trash can,take_to_tree & G go_by_trash_can,G (take_to_tree -> G go_by_trash_can),False
6264,"at a certain moment either the car starts or a train derails and, in the future the brake is pressed and the motorbike has stopped afterwards",G!(car_starts | train_derails) | F((car_starts | train_derails) & F(brake_is_pressed & motorbike_has_stopped)),F ( (car_starts | train_derails) & F (brake_is_pressed & F motorbike_has_stopped) ),False
6265,whenever both the bar has to be repaired and the manager collect claims then at a certain moment both a train has been launched and a train stops,G((bar_has_to_be_repaired & manager_collect_claims) -> F(train_has_been_launched & train_stops)),G((bar_has_to_be_repaired & manager_collect_claims) -> F(train_has_been_launched & train_stops)),True
6266,"first, in the future both a train stops and the brake is pressed, and then, it will happen that the sensor gathers information",G!(brake_is_pressed & train_stops) | F(brake_is_pressed & train_stops & F sensor_gathers_information),F (train_stops & brake_is_pressed) & F (F (train_stops & brake_is_pressed) & F sensor_gathers_information),False
6267,never let_go orange or at any time obtain orange,G!let_go_orange | F obtain_orange,G(!let_go_orange & !obtain_orange),False
6268,whenever both a sensor captures data and the car stops then it will happen that the bar is closing or the manager collect claims,G((car_stops & sensor_captures_data) -> F(bar_is_closing | manager_collect_claims)),G((sensor_captures_data & car_stops) -> F(bar_is_closing | manager_collect_claims)),True
