Index,Requirement,Ground Truth,Response,Equivalent
5156,"at some point a sensor gathers information and, it is going to happen that the train derails and the manager handles requests afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(manager_handles_requests & train_derails)),F(sensor_gathers_information & F(train_derails & X manager_handles_requests)),False
5157,never drop orange and drop orange,drop_orange & G!drop_orange,!(G(!drop_orange) & drop_orange),False
5158,when possible get_hold orange and don't let_go pear,!let_go_pear & F get_hold_orange,G(get_hold_orange & !let_go_pear),False
5159,"every time either the escalator moves or a train has arrived then eventually, both the bar is down and the car starts",G((escalator_moves | train_has_arrived) -> F(bar_is_down & car_starts)),G((escalator_moves | train_has_arrived) -> F(bar_is_down & car_starts)),True
5160,"Whenever record the car on northwest_6th_avenue and photo the jaywalker on north_1st_avenue are equal, photo the jaywalker on north_1st_avenue and get_help are equal as well.",G((photo_jaywalker_north_1st_avenue <-> record_car_northwest_6th_avenue) -> (get_help <-> photo_jaywalker_north_1st_avenue)),G((record_car_northwest_6th_avenue <-> photo_jaywalker_north_1st_avenue) -> (photo_jaywalker_north_1st_avenue <-> get_help)),True
5161,if both the engine starts and a table is old then every time the escalator is blocked or the escalator moves,G((engine_starts & table_is_old) -> G(escalator_is_blocked | escalator_moves)),(engine_starts & table_is_old) -> G(escalator_is_blocked | escalator_moves),False
5162,"Take a photo of the vehicle on south_5th_avenue must hold until change light_north yellow does, or else photo the vehicle on south_5th_avenue holds forever.",(photo_vehicle_south_5th_avenue U change_light_north_yellow) | G photo_vehicle_south_5th_avenue,(photo_vehicle_south_5th_avenue U change_light_north_yellow) | G photo_vehicle_south_5th_avenue,True
5163,"Whenever photo injured_victim holds, deliver_aid the safe_hostile holds exactly three steps later.",G(photo_injured_victim -> XXX deliver_aid_safe_hostile),G(photo_injured_victim -> X X X deliver_aid_safe_hostile),True
5164,"first, it will happen that an elevator falls or the brake is pressed, and then, it is going to happen that both a car starts and a semaphore is red",G!(brake_is_pressed | elevator_falls) | F((brake_is_pressed | elevator_falls) & F(car_starts & semaphore_is_red)),F(elevator_falls | brake_is_pressed) & F(car_starts & semaphore_is_red),False
5165,when possible withhold apple or never drop apple,F withhold_apple | G!drop_apple,G(withhold_apple | G(!drop_apple)),False
5166,"Take a picture of statue 6 after reaching it, and make sure you stay within park 5",F(photo & statue_6) & G park_5,F(statue_6 & X photo) & G(park_5),False
5167,Do not pick up cone 2 until you go to intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
5168,visit tree or at some time travel_to flag,visit_tree | F travel_to_flag,visit_tree | F travel_to_flag,True
5169,The robot must always have either record the jaywalker on northwest_4th_avenue or photo the motorcycle on north_2nd_avenue.,G(photo_motorcycle_north_2nd_avenue | record_jaywalker_northwest_4th_avenue),G(record_jaywalker_northwest_4th_avenue | photo_motorcycle_north_2nd_avenue),True
5170,"If every idle is eventually followed by pickuping the zebra, then pickup the knife must occur infinitely often.",G(idle -> F pickup_zebra) -> GF pickup_knife,(G(idle -> F pickup_zebra)) -> GF pickup_knife,True
5171,every time the train has arrived then at some point in time a motorbike has started and the bar is down,G(train_has_arrived -> F(bar_is_down & motorbike_has_started)),G(train_has_arrived -> F(motorbike_has_started & bar_is_down)),True
5172,"From some point onwards, get_help never occurs again.",FG!get_help,FG !get_help,True
5173,Ensure you find cone 5 at intersection 5 and then transport it to street 2,F(intersection_5 & F(p_cone_5 & F(pd & street_2))),F(p_cone_5 & intersection_5 & F(pd & street_2)),False
5174,"after either the manager collect claims or the sensor gathers information, it is always true that the semaphore is yellow",G((manager_collect_claims | sensor_gathers_information) -> G semaphore_is_yellow),F((manager_collect_claims | sensor_gathers_information) & G(semaphore_is_yellow)),False
5175,at green_room by using red or yellow_rooms first,F((red_room | yellow_room) & F green_room),(red_room | yellow_room) U green_room,False
5176,Take letter 2 from post office 1 and place it in building 3 afterward,F(post_office_1 & F(p_lettter_2 & F(building_3 & pd))),F(p_lettter_2 & post_office_1 & F(p_lettter_2 & building_3)),False
5177,drop pear until take_to trashcan,drop_pear U take_to_trashcan,drop_pear U take_to_trashcan,True
5178,The system must eventually change light_east yellow or change light_south green.,F(change_light_east_yellow | change_light_south_green),F(change_light_east_yellow | change_light_south_green),True
5179,at green or yellow_room to red_room,F((green_room | yellow_room) & F red_room),(green_room | yellow_room) U red_room,False
5180,"Whenever get_help holds, from the next step onwards photo the cyclist on west_10th_street will eventually hold.",G(get_help -> XF photo_cyclist_west_10th_street),G(get_help -> X F photo_cyclist_west_10th_street),True
5181,"whenever an elevator is blocked and a motorbike has stopped then eventually, either the bar is down or a semaphore is yellow",G((elevator_is_blocked & motorbike_has_stopped) -> F(bar_is_down | semaphore_is_yellow)),G((elevator_is_blocked & motorbike_has_stopped) -> F(bar_is_down | semaphore_is_yellow)),True
5182,"First go to street 5, then proceed to building 2 and stay there",F(street_5 & F(building_2 & G building_2)),F(street_5 & F G building_2),True
5183,"Whenever communicate the safe_hostile holds, eventually go_home will hold.",G(communicate_safe_hostile -> F go_home),G(communicate_safe_hostile -> F go_home),True
5184,"if when possible scoop_up pear , whenever pick_up peach",F scoop_up_pear -> F pick_up_peach,F(scoop_up_pear) -> G(pick_up_peach),False
5185,Request assistance and search the carrot will each happen at some point.,F get_help & F search_carrot,(F get_help) & (F search_carrot),True
5186,move to blue_room but don t go through the red_room,F blue_room & G!red_room,F(blue_room) & G(!red_room),True
5187,Continuously transport box_2 from store_4 to hall_8,GF(store_4 & F(p_box_2 & F(hall_8 & pd))),G(p_box_2 & store_4 & hall_8),False
5188,when possible get_near flag or repeatedly grab tree,F get_near_flag | GF grab_tree,G(get_near_flag | GF grab_tree),False
5189,This controller must Please change light_east yellow and then get_help.,change_light_east_yellow U get_help,F(change_light_east_yellow & F get_help),False
5191,This controller must always avoid standing by.,G!idle,G(!idle),True
5192,"Do not enter intersection 8 before arriving at street 3, while ensuring you eventually go to locality 5",(!intersection_8 U street_3) & F locality_5,(!intersection_8 U street_3) & F locality_5,True
5193,"Either pickup the baseball_glove happens infinitely often, or idle happensing in the next step.",GF pickup_baseball_glove | X idle,GF pickup_baseball_glove | X idle,True
5194,Periodically visit charger 2 and repeatedly move plate 4 from table 2 to table 4,GF charger_2 & GF(table_2 & F(p_plate_4 & F(pd & table_4))),GF(charger_2) & GF(p_plate_4 & table_2 & X(F(p_plate_4 & table_4))),False
5195,"If get_help happens infinitely often, then so does pickup the hot_dog.",GF get_help -> GF pickup_hot_dog,GF get_help -> GF pickup_hot_dog,True
5196,Keep retrieving crate 8 from mall 5 and taking it to office 6 repeatedly,GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),G(F(pd & p_crate_8 & mall_5 & F(pd & p_crate_8 & office_6))),False
5197,whenever a table is old or the train has arrived then in the future either the car starts or a train derails,G((table_is_old | train_has_arrived) -> F(car_starts | train_derails)),G((table_is_old | train_has_arrived) -> F(car_starts | train_derails)),True
5198,Do not take a picture until you reach park 5 as you go to take a picture of landmark 4,(!photo U park_5) & F(landmark_4 & photo),(!photo) U (park_5 & F photo),False
5199,"Visit mall_5, pickup box_4, and deliver it to house_1",F(mall_5 & F(p_box_4 & F(house_1 & pd))),F(mall_5 & F(p_box_4 & F(house_1))),False
5200,"If deliver the clock to the loading_dock holds, then in the next step pickup the fork persists until picking up the sheep holds, or else pickup the fork holds forever.",deliver_clock_loading_dock -> X((pickup_fork U pickup_sheep) | G pickup_fork),deliver_clock_loading_dock -> (X(pickup_fork U pickup_sheep) | G pickup_fork),False
5201,Go to house_2 and pickup trash_can_2,F(house_2 & p_trash_can_2),F(house_2 & F p_trash_can_2),False
5202,move_towards trash can until pick_up flag,move_towards_trash_can U pick_up_flag,move_towards_trash_can U pick_up_flag,True
5203,"in any case the train has arrived, the table has been moved and the engine starts",G(engine_starts & table_has_been_moved & train_has_arrived),G(train_has_arrived -> (table_has_been_moved & engine_starts)),False
5204,Our agent must eventually photo safe_person and communicate the injured_rescuer.,F(communicate_injured_rescuer & photo_safe_person),F(photo_safe_person & communicate_injured_rescuer),True
5205,"Whenever pickup the toothbrush holds, eventually search the fork will hold.",G(pickup_toothbrush -> F search_fork),G(pickup_toothbrush -> F search_fork),True
5206,when possible make_to flag or repeatedly grab tree,F make_to_flag | GF grab_tree,GF(make_to_flag | GF grab_tree),False
5207,if the elevator rises or the elevator falls then it will happen that the escalator is blocked or the engine stops,G((elevator_falls | elevator_rises) -> F(engine_stops | escalator_is_blocked)),(elevator_rises | elevator_falls) -> F (escalator_is_blocked | engine_stops),False
5208,"first, at some point both the table is brown and the motorbike is driven, and then, sooner or later both the car enters and a table is brown",G!(motorbike_is_driven & table_is_brown) | F(motorbike_is_driven & table_is_brown & F(car_enters & table_is_brown)),F((table_is_brown & motorbike_is_driven) & F(car_enters & table_is_brown)),False
5209,"Switch light_north red must hold until record the cyclist on east_10th_street does, or else change light_north red holds forever.",(change_light_north_red U record_cyclist_east_10th_street) | G change_light_north_red,(change_light_north_red U record_cyclist_east_10th_street) | G change_light_north_red,True
5210,visit tree until seize apple,visit_tree U seize_apple,visit_tree U seize_apple,True
5211,whenever travel house or at any time proceed_to house,F travel_house | F proceed_to_house,G(travel_house | F proceed_to_house),False
5212,at some time go home or put_in bin,put_in_bin | F go_home,F(go_home | put_in_bin),False
5213,"eternally, either the engine stops, a bridge closes or the engine breaks",G(bridge_closes | engine_breaks | engine_stops),G(engine_stops | bridge_closes | engine_breaks),True
5214,The robot must Please photo the pedestrian on northwest_1st_street and then get_help.,photo_pedestrian_northwest_1st_street U get_help,F(photo_pedestrian_northwest_1st_street & F get_help),False
5215,Refrain from visiting intersection_4 until you have reached street_5,!intersection_4 U street_5,!intersection_4 U street_5,True
5216,"Do not visit parking lot 4 before reaching street 5, and after that, proceed to enter and remain there",(!parking_lot_4 U street_5) & F(parking_lot_4 & G parking_lot_4),(!parking_lot_4 U street_5) & F(G street_5),False
5217,"as a sensor captures data, it is going to happen that both a house is open and the sensor retrieves data",G(sensor_captures_data -> F(house_is_open & sensor_retrieves_data)),G(sensor_captures_data -> F(house_is_open & sensor_retrieves_data)),True
5218,gather apple or never let_go orange,gather_apple | G!let_go_orange,gather_apple | G !let_go_orange,True
5219,Ensure that you never interact with letter 8,G!p_letter_8,G(!p_letter_8),True
5220,Keep returning to charger 3 as you periodically take photos of area 3,GF charger_3 & GF(area_3 & photo),GF(charger_3) & GF(photo & area_3),True
5221,Be in park 5 until you take a picture of monument 2 and then go to intersection 5 and stay there,park_5 U (monument_2 & photo & F(intersection_5 & G intersection_5)),(park_5 U (photo & F (X (G intersection_5)))),False
5222,Retrieve cone_5 from intersection_5 and take it to street_2,F(intersection_5 & F(p_cone_5 & F(pd & street_2))),F(p_cone_5 & intersection_5 & F(p_cone_5 & street_2)),False
5223,Persistently stay within street_5 while regularly photographing parking_lot_4,G street_5 & GF(parking_lot_4 & photo),G(street_5 & GF photo),False
5224,it should not happen that both an elevator rises and the table has been moved,G!(elevator_rises & table_has_been_moved),!(elevator_rises & table_has_been_moved),False
5225,Avoid going to statue_2 until you arrive at park_5 and photo of it,F(photo & statue_2) & (!statue_2 U park_5),(!statue_2) U (park_5 & photo),False
5226,every time the motorbike has stopped and a sensor gathers information then under no condition both a semaphore is red and the bar is up,G((motorbike_has_stopped & sensor_gathers_information) -> G!(bar_is_up & semaphore_is_red)),G((motorbike_has_stopped & sensor_gathers_information) -> !(semaphore_is_red & bar_is_up)),False
5227,"Whenever photo unsafe_person holds, communicate the injured_victim holds exactly three steps later.",G(photo_unsafe_person -> XXX communicate_injured_victim),G(photo_unsafe_person -> X X X communicate_injured_victim),True
5228,"At every step, get_help equals the value of change light_east green in the next step.",G(get_help <-> X change_light_east_green),G(get_help <-> X change_light_east_green),True
5229,gather apple and hold orange,gather_apple & hold_orange,gather_apple & hold_orange,True
5230,"Begin recording injured_person must hold until returning to base does, or else record injured_person holds forever.",(record_injured_person U go_home) | G record_injured_person,(record_injured_person U go_home) | G record_injured_person,True
5231,"it is going to happen that the sensor captures data and, at the same time, a table has been moved and a manager handles requests",F(manager_handles_requests & sensor_captures_data & table_has_been_moved),F(sensor_captures_data & table_has_been_moved & manager_handles_requests),True
5232,secure apple means that at some time go_by waste basket,secure_apple -> F go_by_waste_basket,secure_apple -> F go_by_waste_basket,True
5233,Do not at intersection_5 until you reach street_4 as you take pass_4 from house_4 to office_1,(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),(!intersection_5) U street_4,False
5234,"Once go_home has occurred, record safe_rescuer will never occur again.",G(go_home -> XG!record_safe_rescuer),G(go_home -> G(!record_safe_rescuer)),False
5235,at some time get_to flag or repeatedly grab tree,F get_to_flag | GF grab_tree,F get_to_flag | G grab_tree,False
5236,"The system must eventually, avoid photoing the person on west_1st_street.",F!photo_person_west_1st_street,F(!photo_person_west_1st_street),True
5237,Begin recording flood can only happen after doing not go near the impending_flood.,!record_flood U avoid_impending_flood,(!record_flood U avoid_impending_flood),True
5238,go_visit flag and never drop orange,go_visit_flag & G!drop_orange,go_visit_flag & G(!drop_orange),True
5239,"Set light_north yellow must hold until change light_north red does, or else change light_north yellow holds forever.",(change_light_north_yellow U change_light_north_red) | G change_light_north_yellow,(light_north_yellow U change_light_north_red) | G change_light_north_yellow,False
5240,Ensure you visit car 3 repeatedly while making progress toward building 2,GF car_3 & F building_2,GF(car_3) & F(building_2),True
5241,at some point the escalator moves and the bar is up,F(bar_is_up & escalator_moves),F(escalator_moves & bar_is_up),True
5242,You must Please photo the cyclist on south_8th_avenue and then get_help.,photo_cyclist_south_8th_avenue U get_help,F(photo_cyclist_south_8th_avenue & F get_help),False
5243,"The robot must eventually, avoid talking to the injured_hostile.",F!communicate_injured_hostile,F(!communicate_injured_hostile),True
5244,Call for help can only happen after search the stop_sign.,!get_help U search_stop_sign,!(!search_stop_sign U get_help),False
5245,"finally, a car starts and a semaphore is broken and, in the future the engine starts or an elevator is open afterwards",G!(car_starts & semaphore_is_broken) | F(car_starts & semaphore_is_broken & F(elevator_is_open | engine_starts)),F(car_starts & semaphore_is_broken & F(engine_starts | X elevator_is_open)),False
5246,at some point in time either the manager handles requests or the elevator falls,F(elevator_falls | manager_handles_requests),F(manager_handles_requests | elevator_falls),True
5247,"Take a picture of statue 6, then go to bench 4 and remain there",F(photo & statue_6 & F(bench_4 & G bench_4)),F(photo & statue_6 & F(bench_4 & G bench_4)),True
5248,"Whenever idle holds, search the umbrella holds as well.",G(idle -> search_umbrella),G(idle -> search_umbrella),True
5249,whenever a semaphore is yellow then it is always the case that either a sensor captures data or the brake is released,G(semaphore_is_yellow -> G(brake_is_released | sensor_captures_data)),G(semaphore_is_yellow -> G(sensor_captures_data | brake_is_released)),True
5250,"at a certain moment a train has arrived and, it is going to happen that the escalator speeds up or the house collapses afterwards",G!train_has_arrived | F(train_has_arrived & F(escalator_speeds_up | house_collapses)),F(train_has_arrived & F(escalator_speeds_up | house_collapses)),False
5251,"From some point onwards, communicate the injured_hostile never occurs again.",FG!communicate_injured_hostile,FG(!communicate_injured_hostile),True
5252,"Find the knife must keep holding until, from some point on, get_help holds infinitely often.",search_knife U GF get_help,search_knife U G F get_help,True
5253,at some time get apple until put_in apple bucket,F get_apple U put_in_apple_bucket,F(get_apple U put_in_apple_bucket),False
5254,when possible get_hold orange until procure apple,F get_hold_orange U procure_apple,G(get_hold_orange U procure_apple),False
5255,"Whenever go_home and avoid the nearest_debris are equal, avoid the nearest_debris and communicate the safe_hostile are equal as well.",G((avoid_nearest_debris <-> go_home) -> (avoid_nearest_debris <-> communicate_safe_hostile)),G((go_home <-> avoid_nearest_debris) -> (avoid_nearest_debris <-> communicate_safe_hostile)),True
5256,move to the red_room avoiding the green_room,F red_room & G!green_room,F(red_room) & G(!green_room),True
5257,"If deliver the spoon to the loading_dock happens infinitely often, then so does pickup the pizza.",GF deliver_spoon_loading_dock -> GF pickup_pizza,GF deliver_spoon_loading_dock -> GF pickup_pizza,True
5258,Collect package 2 from store 3 and take it to house 2 without entering mall 1,F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1,F(store_3 & p_package_2 & F(house_2 & pd)) & G(!mall_1),False
5259,"first, at some point in time the sensor gathers information, and then, at some point a sensor retrieves data or the engine starts",G!sensor_gathers_information | F(sensor_gathers_information & F(engine_starts | sensor_retrieves_data)),F(sensor_gathers_information & F(sensor_retrieves_data | engine_starts)),False
5260,"it should not happen that the escalator moves, the bridge closes and the engine breaks",G!(bridge_closes & engine_breaks & escalator_moves),!(escalator_moves & bridge_closes & engine_breaks),False
5261,"Globally, it is not the case that both get_help and photo the motorcycle on south_5th_street hold simultaneously.",G!(get_help & photo_motorcycle_south_5th_street),G(!(get_help & photo_motorcycle_south_5th_street)),True
5262,"At every step, get_help equals the value of avoid the impending_unstable_beam in the next step.",G(get_help <-> X avoid_impending_unstable_beam),G(get_help <-> X avoid_impending_unstable_beam),True
5263,Get help and change light_east red will each happen at some point.,F get_help & F change_light_east_red,(F get_help) & (F change_light_east_red),True
