Ground Truth,Response
G((LinkDisabled) -> X (ErrorReset)) & G((disconnect) -> X (ErrorReset)) & G((parity) -> X (ErrorReset)) & G((ESC_Error) -> (ErrorReset)) & G(((FCT_received) & (NChar_received) & (broadcast_received)) -> X(ErrorReset)) & G((LinkStart_asserted) -> X(Started_state)) & G(((AutoStart_asserted) & (gotNull_asserted)) -> X(Started_state)),G(Ready_state -> ((LinkDisabled -> X ErrorReset) & (disconnect -> X ErrorReset) & (parity -> X ErrorReset) & (ESC_Error -> X ErrorReset) & ((CT_received | NChar_received | broadcast_received) -> X ErrorReset) & (LinkStart_asserted -> X Started_state) & ((AutoStart_asserted & gotNull_asserted) -> X Started_state)))
G ((receiver_Disable_asserted ) -> X (G(ErrorReset_State))),G(receiver_Disable_asserted -> (ErrorReset_State & X G(ErrorReset_State & !receiver_Disable_asserted)))
G ((PortReset_asserted) -> X (Link_Error_Recovery_state_machine_Normal)),G(PortReset_asserted -> F(Link_Error_Recovery_state_machine_Normal))
G (((Run_State) & (LinkDisabled_asserted)) -> X(Recovery_state)) & G( ( (Run_state ) & ((Disconnect) & ((Parity_Error) & ((ESC_Error) & (Credit_Error))) ) ) -> X(Recovery_state)),G((Run_State & LinkDisabled_asserted) -> X(Recovery_state)) & G((Run_State & (Disconnect | Parity_Error | ESC_Error | Credit_Error)) -> X(Recovery_state))
G((Recovery_state) -> (((sending_current_packet) & (a_packet_not_sent)) -> X(discard_remainder))) & (G((Recovery_state) -> ((last_character_is_data) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ((last_character_EOP & last_character_EEP) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ( (((EEP_pending) & (FIFO_full)) -> ((EEP_wait) U (EEP_in_receive_FIFO))) -> X(write_EEP))) & G((Recovery_state) -> ((error) -> X (Record_error)))))),G(Recovery_state -> (G(sending_current_packet -> discard_remainder) & G(last_character_is_data -> write_EEP) & G((last_character_EOP | last_character_EEP) -> EEP_sent_to_receive_FIFO) & G((EEP_pending & IFO_full) -> (EEP_wait U !IFO_full)) & G(error -> Record_error)))
G(  ((Run_state_started) -> ((NChar_sent) & !(last_char_EOP & EEP)))  -> X(((read_transmit_FIFO) & (discard_characters)) U ((EOP_read & EEP_read) & (EOP_discard & EEP_discarded)))  ),G(((Run_state_started & !last_char_EOP & !EEP & NChar_sent) -> (discard_characters U (EOP_read | EEP_read))) )
G((receive_FIFO_full) -> ! F(send_FCT)) & G((eight_NChar_room ) -> X(send_FCT)),G((receive_FIFO_full -> !send_FCT) & (receive_FIFO_full -> G((!eight_NChar_room -> X(!send_FCT)) & (eight_NChar_room -> F(send_FCT)))) & (eight_NChar_room -> F(send_FCT)))
G(!(transmit_packet) U ((current_packet_sent) & (error_transmit))),G((current_packet_sent | error_transmit) -> !transmit_packet U (current_packet_sent | error_transmit))
G((output_port_free) -> ((packet_transfer) & X (free_output_port))),G(output_port_free -> X(packet_transfer & X(free_output_port)))
G(! (NChar_accepted) -> ((input_port_wait) & (! (NChar_sent) U (multicast_output_ports_ready)))),G((!multicast_output_ports_ready) -> (input_port_wait & (!NChar_sent U multicast_output_ports_ready)))
G((BROADCAST_CODE_received) -> ((Character_sent) -> X (broadcast_code_sent))),G(BROADCAST_CODE_received -> X(Character_sent -> X(broadcast_code_sent)))
G(((receiver_enabled) -> F(Null_received)) -> (gotNull_indicated)),G((receiver_enabled & X Null_received) -> gotNull_indicated)
G( receiver_enabled -> X(G(first_null_received_without_error) -> got_null_passed)),G((receiver_enabled & first_null_received_without_error) -> got_null_passed)
G( (receive_i -> X(F(receive_j))) -> (send_i & X(send_j)) ),G((receive_i | receive_j) -> X((receive_i | receive_j) U (send_i | send_j)))
G(((corr_interr_code_received) -> X( !( !(send_interr_ack) U(interr_code_prop)))) -> (G(new_interr_code_disc) & G(F(new_interr_code_prop)))),G((corr_interr_code_received & !interr_code_prop) -> (!send_interr_ack U interr_code_prop))
