Take a picture of safe_rescuer can only happen after avoid the inactive_unstable_beam.;!photo_safe_rescuer U avoid_inactive_unstable_beam;['photo_safe_rescuer', 'avoid_inactive_unstable_beam']
Record the pedestrian on southwest_4th_avenue can only happen after photoing the car on south_8th_avenue.;!record_pedestrian_southwest_4th_avenue U photo_car_south_8th_avenue;['record_pedestrian_southwest_4th_avenue', 'photo_car_south_8th_avenue']
Photograph the person on northeast_4th_street can only happen after calling for help.;!photo_person_northeast_4th_street U get_help;['get_help', 'photo_person_northeast_4th_street']
Take a photo of the vehicle on south_9th_street must hold until change light_west yellow does, or else photo the vehicle on south_9th_street holds forever.;(photo_vehicle_south_9th_street U change_light_west_yellow) | G photo_vehicle_south_9th_street;['change_light_west_yellow', 'photo_vehicle_south_9th_street']
Take a photo of safe_victim must hold until staying away from the inactive_fire_source does, or else photo safe_victim holds forever.;(photo_safe_victim U avoid_inactive_fire_source) | G photo_safe_victim;['photo_safe_victim', 'avoid_inactive_fire_source']
You must avoid the impending_debris must hold until deliver_aid the safe_hostile does, or else avoid the impending_debris holds forever.;(avoid_impending_debris U deliver_aid_safe_hostile) | G avoid_impending_debris;['deliver_aid_safe_hostile', 'avoid_impending_debris']
Pick up the person must hold until calling for help does, or else pickup the person holds forever.;(pickup_person U get_help) | G pickup_person;['get_help', 'pickup_person']
Take a photo of flood must hold until talking to the injured_hostile does, or else photo flood holds forever.;(photo_flood U communicate_injured_hostile) | G photo_flood;['photo_flood', 'communicate_injured_hostile']
Return home must hold until photo safe_victim does, or else go_home holds forever.;(go_home U photo_safe_victim) | G go_home;['photo_safe_victim', 'go_home']
You must pickup the hair-drier must hold until picking up the zebra does, or else pickup the hair-drier holds forever.;(pickup_hair_drier U pickup_zebra) | G pickup_hair_drier;['pickup_zebra', 'pickup_hair_drier']
Take a photo of safe_rescuer must hold until get_help does, or else photo safe_rescuer holds forever.;(photo_safe_rescuer U get_help) | G photo_safe_rescuer;['get_help', 'photo_safe_rescuer']
Return home must hold until avoid the active_debris does, or else go_home holds forever.;(go_home U avoid_active_debris) | G go_home;['go_home', 'avoid_active_debris']
Get help must hold until delivering the book to the shelf does, or else get_help holds forever.;(get_help U deliver_book_shelf) | G get_help;['get_help', 'deliver_book_shelf']
Update light_south yellow must hold until recording the person on east_1st_avenue does, or else change light_south yellow holds forever.;(change_light_south_yellow U record_person_east_1st_avenue) | G change_light_south_yellow;['change_light_south_yellow', 'record_person_east_1st_avenue']
The system must avoid the nearest_flood must hold until returning to base does, or else avoid the nearest_flood holds forever.;(avoid_nearest_flood U go_home) | G avoid_nearest_flood;['go_home', 'avoid_nearest_flood']
Our agent must eventually, avoid going back to base.;F!go_home;['go_home']
This controller must eventually, avoid begining recording the cyclist on northwest_2nd_avenue.;F!record_cyclist_northwest_2nd_avenue;['record_cyclist_northwest_2nd_avenue']
The robot must eventually, avoid establishing communication with the injured_hostile.;F!communicate_injured_hostile;['communicate_injured_hostile']
The system must eventually, avoid begining recording the cyclist on north_1st_street.;F!record_cyclist_north_1st_street;['record_cyclist_north_1st_street']
You must eventually, avoid photoing gas_leak.;F!photo_gas_leak;['photo_gas_leak']
The robot must eventually, avoid pickuping the carrot.;F!pickup_carrot;['pickup_carrot']
The robot must eventually, avoid change light_east green.;F!change_light_east_green;['change_light_east_green']
You must eventually, avoid change light_east red.;F!change_light_east_red;['change_light_east_red']
The system must eventually, avoid searching the sports_ball.;F!search_sports_ball;['search_sports_ball']
This controller must eventually, avoid photoing flood.;F!photo_flood;['photo_flood']
This controller must eventually, avoid change light_north yellow.;F!change_light_north_yellow;['change_light_north_yellow']
The system must eventually, avoid droping off the surfboard to the loading_dock.;F!deliver_surfboard_loading_dock;['deliver_surfboard_loading_dock']
You must Eventually, both go_home and deliver_aid the injured_hostile hold simultaneously.;F(deliver_aid_injured_hostile & go_home);['go_home', 'deliver_aid_injured_hostile']
You must eventually get_help and pickup the cell_phone.;F(get_help & pickup_cell_phone);['get_help', 'pickup_cell_phone']
The robot must eventually deliver_aid the safe_hostile and go_home.;F(deliver_aid_safe_hostile & go_home);['go_home', 'deliver_aid_safe_hostile']
Our agent must eventually deliver the sports_ball to the shelf and idle.;F(deliver_sports_ball_shelf & idle);['idle', 'deliver_sports_ball_shelf']
You must Eventually, both photo fire_source and record injured_rescuer hold simultaneously.;F(photo_fire_source & record_injured_rescuer);['record_injured_rescuer', 'photo_fire_source']
The system must Eventually, both idle and pickup the toaster hold simultaneously.;F(idle & pickup_toaster);['idle', 'pickup_toaster']
The system must eventually record the car on east_2nd_street and photo the pedestrian on southeast_4th_street.;F(photo_pedestrian_southeast_4th_street & record_car_east_2nd_street);['photo_pedestrian_southeast_4th_street', 'record_car_east_2nd_street']
The robot must eventually search the sandwich and pickup the banana.;F(pickup_banana & search_sandwich);['pickup_banana', 'search_sandwich']
The robot must Eventually, both get_help and pickup the tie hold simultaneously.;F(get_help & pickup_tie);['get_help', 'pickup_tie']
This controller must Eventually, both change light_east red and photo the car on west_2nd_street hold simultaneously.;F(change_light_east_red & photo_car_west_2nd_street);['change_light_east_red', 'photo_car_west_2nd_street']
The system must eventually photo the cyclist on southwest_7th_street and record the cyclist on northwest_3rd_street.;F(photo_cyclist_southwest_7th_street & record_cyclist_northwest_3rd_street);['photo_cyclist_southwest_7th_street', 'record_cyclist_northwest_3rd_street']
This controller must Eventually, both pickup the bear and idle hold simultaneously.;F(idle & pickup_bear);['idle', 'pickup_bear']
The robot must eventually search the bed or search the vase.;F(search_bed | search_vase);['search_bed', 'search_vase']
The robot must eventually change light_west red or photo the vehicle on southwest_9th_street.;F(change_light_west_red | photo_vehicle_southwest_9th_street);['change_light_west_red', 'photo_vehicle_southwest_9th_street']
The system must eventually idle or deliver the sandwich to the loading_dock.;F(deliver_sandwich_loading_dock | idle);['idle', 'deliver_sandwich_loading_dock']
You must eventually avoid the probable_gas_leak or photo unstable_beam.;F(avoid_probable_gas_leak | photo_unstable_beam);['avoid_probable_gas_leak', 'photo_unstable_beam']
You must eventually record the collision on north_3rd_avenue or change light_south yellow.;F(change_light_south_yellow | record_collision_north_3rd_avenue);['change_light_south_yellow', 'record_collision_north_3rd_avenue']
You must eventually deliver the toaster to the loading_dock or pickup the cell_phone.;F(deliver_toaster_loading_dock | pickup_cell_phone);['pickup_cell_phone', 'deliver_toaster_loading_dock']
Our agent must eventually change light_east red or photo the pedestrian on northwest_4th_avenue.;F(change_light_east_red | photo_pedestrian_northwest_4th_avenue);['change_light_east_red', 'photo_pedestrian_northwest_4th_avenue']
You must eventually change light_east green or record the person on northeast_6th_avenue.;F(change_light_east_green | record_person_northeast_6th_avenue);['change_light_east_green', 'record_person_northeast_6th_avenue']
The system must eventually pickup the vase or pickup the tie.;F(pickup_tie | pickup_vase);['pickup_vase', 'pickup_tie']
The system must eventually idle or search the teddy-bear.;F(idle | search_teddy_bear);['idle', 'search_teddy_bear']
The robot must eventually change light_north yellow or get_help.;F(change_light_north_yellow | get_help);['get_help', 'change_light_north_yellow']
The system must eventually get_help or change light_west red.;F(change_light_west_red | get_help);['get_help', 'change_light_west_red']
From some point onwards, photo the motorcycle on south_9th_street never occurs again.;FG!photo_motorcycle_south_9th_street;['photo_motorcycle_south_9th_street']
From some point onwards, photo the pedestrian on south_3rd_street never occurs again.;FG!photo_pedestrian_south_3rd_street;['photo_pedestrian_south_3rd_street']
From some point onwards, search the zebra never occurs again.;FG!search_zebra;['search_zebra']
From some point onwards, search the bench never occurs again.;FG!search_bench;['search_bench']
From some point onwards, search the cell_phone never occurs again.;FG!search_cell_phone;['search_cell_phone']
From some point onwards, deliver the horse to the shelf never occurs again.;FG!deliver_horse_shelf;['deliver_horse_shelf']
From some point onwards, record injured_rescuer never occurs again.;FG!record_injured_rescuer;['record_injured_rescuer']
From some point onwards, record the collision on northwest_10th_street never occurs again.;FG!record_collision_northwest_10th_street;['record_collision_northwest_10th_street']
From some point onwards, avoid the nearest_flood never occurs again.;FG!avoid_nearest_flood;['avoid_nearest_flood']
From some point onwards, change light_east green never occurs again.;FG!change_light_east_green;['change_light_east_green']
From some point onwards, search the giraffe never occurs again.;FG!search_giraffe;['search_giraffe']
From some point onwards, record the car on northeast_4th_street never occurs again.;FG!record_car_northeast_4th_street;['record_car_northeast_4th_street']
Take a picture of gas_leak and avoid the active gas_leak will each happen at some point.;F photo_gas_leak & F avoid_active_gas_leak;['photo_gas_leak', 'avoid_active_gas_leak']
Photograph injured_rescuer and avoid the impending_gas_leak will each happen at some point.;F photo_injured_rescuer & F avoid_impending_gas_leak;['avoid_impending_gas_leak', 'photo_injured_rescuer']
Take a video of the person on east_8th_street and change light_east green will each happen at some point.;F record_person_east_8th_street & F change_light_east_green;['record_person_east_8th_street', 'change_light_east_green']
Photograph the collision on north_9th_street and change light_north yellow will each happen at some point.;F photo_collision_north_9th_street & F change_light_north_yellow;['change_light_north_yellow', 'photo_collision_north_9th_street']
Establish communication with the injured_victim and go_home will each happen at some point.;F communicate_injured_victim & F go_home;['communicate_injured_victim', 'go_home']
Deliver the toilet to the loading_dock and deliver the banana to the shelf will each happen at some point.;F deliver_toilet_loading_dock & F deliver_banana_shelf;['deliver_banana_shelf', 'deliver_toilet_loading_dock']
Search for the bus and get_help will each happen at some point.;F search_bus & F get_help;['get_help', 'search_bus']
Begin recording injured_person and record flood will each happen at some point.;F record_injured_person & F record_flood;['record_injured_person', 'record_flood']
Go home and avoid the impending_debris will each happen at some point.;F go_home & F avoid_impending_debris;['go_home', 'avoid_impending_debris']
Deliver aid to the injured_hostile and photo injured_civilian will each happen at some point.;F deliver_aid_injured_hostile & F photo_injured_civilian;['deliver_aid_injured_hostile', 'photo_injured_civilian']
Request assistance and record gas_leak will each happen at some point.;F get_help & F record_gas_leak;['get_help', 'record_gas_leak']
Record unstable_beam and photo safe_civilian will each happen at some point.;F record_unstable_beam & F photo_safe_civilian;['photo_safe_civilian', 'record_unstable_beam']
If deliver the sink to the loading_dock ever holds, pickup the scissors must have held beforehand.;F deliver_sink_loading_dock -> (!deliver_sink_loading_dock U (!deliver_sink_loading_dock & pickup_scissors));['pickup_scissors', 'deliver_sink_loading_dock']
If deliver the book to the loading_dock ever holds, pickup the toothbrush must have held beforehand.;F deliver_book_loading_dock -> (!deliver_book_loading_dock U (!deliver_book_loading_dock & pickup_toothbrush));['pickup_toothbrush', 'deliver_book_loading_dock']
If communicate the injured_rescuer ever holds, deliver_aid the injured_victim must have held beforehand.;F communicate_injured_rescuer -> (!communicate_injured_rescuer U (!communicate_injured_rescuer & deliver_aid_injured_victim));['communicate_injured_rescuer', 'deliver_aid_injured_victim']
If avoid the active_unstable_beam ever holds, communicate the injured_rescuer must have held beforehand.;F avoid_active_unstable_beam -> (!avoid_active_unstable_beam U (!avoid_active_unstable_beam & communicate_injured_rescuer));['communicate_injured_rescuer', 'avoid_active_unstable_beam']
If change light_west red ever holds, photo the cyclist on northwest_10th_street must have held beforehand.;F change_light_west_red -> (!change_light_west_red U (!change_light_west_red & photo_cyclist_northwest_10th_street));['change_light_west_red', 'photo_cyclist_northwest_10th_street']
If record the cyclist on southeast_10th_avenue ever holds, record the motorcycle on southwest_4th_avenue must have held beforehand.;F record_cyclist_southeast_10th_avenue -> (!record_cyclist_southeast_10th_avenue U (!record_cyclist_southeast_10th_avenue & record_motorcycle_southwest_4th_avenue));['record_motorcycle_southwest_4th_avenue', 'record_cyclist_southeast_10th_avenue']
If deliver the bird to the shelf ever holds, search the bench must have held beforehand.;F deliver_bird_shelf -> (!deliver_bird_shelf U (!deliver_bird_shelf & search_bench));['search_bench', 'deliver_bird_shelf']
If photo the vehicle on north_2nd_avenue ever holds, record the vehicle on northwest_2nd_street must have held beforehand.;F photo_vehicle_north_2nd_avenue -> (!photo_vehicle_north_2nd_avenue U (!photo_vehicle_north_2nd_avenue & record_vehicle_northwest_2nd_street));['photo_vehicle_north_2nd_avenue', 'record_vehicle_northwest_2nd_street']
If get_help ever holds, photo the jaywalker on southeast_4th_avenue must have held beforehand.;F get_help -> (!get_help U (!get_help & photo_jaywalker_southeast_4th_avenue));['get_help', 'photo_jaywalker_southeast_4th_avenue']
If get_help ever holds, photo the vehicle on south_3rd_street must have held beforehand.;F get_help -> (!get_help U (!get_help & photo_vehicle_south_3rd_street));['get_help', 'photo_vehicle_south_3rd_street']
If pickup the cell_phone ever holds, pickup the motorbike must have held beforehand.;F pickup_cell_phone -> (!pickup_cell_phone U (!pickup_cell_phone & pickup_motorbike));['pickup_cell_phone', 'pickup_motorbike']
If deliver the cake to the loading_dock ever holds, search the cake must have held beforehand.;F deliver_cake_loading_dock -> (!deliver_cake_loading_dock U (!deliver_cake_loading_dock & search_cake));['deliver_cake_loading_dock', 'search_cake']
If record safe_civilian ever holds, photo safe_civilian must have held beforehand.;F record_safe_civilian -> (!record_safe_civilian U (photo_safe_civilian & !record_safe_civilian));['photo_safe_civilian', 'record_safe_civilian']
If pickup the laptop ever holds, deliver the boat to the loading_dock must have held beforehand.;F pickup_laptop -> (!pickup_laptop U (deliver_boat_loading_dock & !pickup_laptop));['deliver_boat_loading_dock', 'pickup_laptop']
If record the car on west_1st_street ever holds, get_help must have held beforehand.;F record_car_west_1st_street -> (!record_car_west_1st_street U (get_help & !record_car_west_1st_street));['get_help', 'record_car_west_1st_street']
If search the laptop ever holds, pickup the toaster must have held beforehand.;F search_laptop -> (!search_laptop U (pickup_toaster & !search_laptop));['search_laptop', 'pickup_toaster']
If search the toothbrush ever holds, idle must have held beforehand.;F search_toothbrush -> (!search_toothbrush U (idle & !search_toothbrush));['idle', 'search_toothbrush']
If avoid the probable_gas_leak ever holds, avoid the impending_flood must have held beforehand.;F avoid_probable_gas_leak -> (!avoid_probable_gas_leak U (avoid_impending_flood & !avoid_probable_gas_leak));['avoid_probable_gas_leak', 'avoid_impending_flood']
If idle ever holds, deliver the zebra to the shelf must have held beforehand.;F idle -> (!idle U (deliver_zebra_shelf & !idle));['idle', 'deliver_zebra_shelf']
If get_help ever holds, deliver the tie to the loading_dock must have held beforehand.;F get_help -> (!get_help U (deliver_tie_loading_dock & !get_help));['get_help', 'deliver_tie_loading_dock']
If get_help ever holds, deliver the spoon to the shelf must have held beforehand.;F get_help -> (!get_help U (deliver_spoon_shelf & !get_help));['get_help', 'deliver_spoon_shelf']
If record the pedestrian on west_9th_street ever holds, get_help must have held beforehand.;F record_pedestrian_west_9th_street -> (!record_pedestrian_west_9th_street U (get_help & !record_pedestrian_west_9th_street));['get_help', 'record_pedestrian_west_9th_street']
If photo the person on southeast_10th_avenue ever holds, get_help must have held beforehand.;F photo_person_southeast_10th_avenue -> (!photo_person_southeast_10th_avenue U (get_help & !photo_person_southeast_10th_avenue));['get_help', 'photo_person_southeast_10th_avenue']
If pickup the aeroplane ever holds, get_help must have held beforehand.;F pickup_aeroplane -> (!pickup_aeroplane U (get_help & !pickup_aeroplane));['get_help', 'pickup_aeroplane']
Get help and photo the pedestrian on east_9th_avenue are mutually exclusive at all times.;G!(get_help & photo_pedestrian_east_9th_avenue);['get_help', 'photo_pedestrian_east_9th_avenue']
Globally, it is not the case that both deliver_aid the safe_hostile and get_help hold simultaneously.;G!(deliver_aid_safe_hostile & get_help);['get_help', 'deliver_aid_safe_hostile']
Record fire_source and avoid the nearest_gas_leak are mutually exclusive at all times.;G!(avoid_nearest_gas_leak & record_fire_source);['avoid_nearest_gas_leak', 'record_fire_source']
Look for the boat and get_help are mutually exclusive at all times.;G!(get_help & search_boat);['get_help', 'search_boat']
Globally, it is not the case that both avoid the active_gas_leak and record flood hold simultaneously.;G!(avoid_active_gas_leak & record_flood);['record_flood', 'avoid_active_gas_leak']
Record the cyclist on east_8th_avenue and get_help are mutually exclusive at all times.;G!(get_help & record_cyclist_east_8th_avenue);['get_help', 'record_cyclist_east_8th_avenue']
Globally, it is not the case that both photo the pedestrian on east_10th_avenue and change light_north red hold simultaneously.;G!(change_light_north_red & photo_pedestrian_east_10th_avenue);['change_light_north_red', 'photo_pedestrian_east_10th_avenue']
Set light_north yellow and get_help are mutually exclusive at all times.;G!(change_light_north_yellow & get_help);['get_help', 'change_light_north_yellow']
Globally, it is not the case that both pickup the giraffe and get_help hold simultaneously.;G!(get_help & pickup_giraffe);['get_help', 'pickup_giraffe']
Drop off the truck to the shelf and get_help are mutually exclusive at all times.;G!(deliver_truck_shelf & get_help);['get_help', 'deliver_truck_shelf']
Globally, it is not the case that both go_home and communicate the injured_hostile hold simultaneously.;G!(communicate_injured_hostile & go_home);['go_home', 'communicate_injured_hostile']
Globally, it is not the case that both record the jaywalker on northwest_6th_street and record the pedestrian on south_8th_avenue hold simultaneously.;G!(record_jaywalker_northwest_6th_street & record_pedestrian_south_8th_avenue);['record_jaywalker_northwest_6th_street', 'record_pedestrian_south_8th_avenue']
Photograph the pedestrian on east_1st_street and photo the cyclist on southeast_7th_street never coincide, yet one of them is always true.;G!(photo_cyclist_southeast_7th_street & photo_pedestrian_east_1st_street) & G(photo_cyclist_southeast_7th_street | photo_pedestrian_east_1st_street);['photo_cyclist_southeast_7th_street', 'photo_pedestrian_east_1st_street']
Take a picture of safe_person and record gas_leak never coincide, yet one of them is always true.;G!(photo_safe_person & record_gas_leak) & G(photo_safe_person | record_gas_leak);['record_gas_leak', 'photo_safe_person']
Wait and search the teddy-bear never coincide, yet one of them is always true.;G!(idle & search_teddy_bear) & G(idle | search_teddy_bear);['idle', 'search_teddy_bear']
Take a photo of the cyclist on west_9th_street and record the vehicle on south_5th_avenue never coincide, yet one of them is always true.;G!(photo_cyclist_west_9th_street & record_vehicle_south_5th_avenue) & G(photo_cyclist_west_9th_street | record_vehicle_south_5th_avenue);['photo_cyclist_west_9th_street', 'record_vehicle_south_5th_avenue']
Deliver the toilet to the shelf and search the donut never coincide, yet one of them is always true.;G!(deliver_toilet_shelf & search_donut) & G(deliver_toilet_shelf | search_donut);['search_donut', 'deliver_toilet_shelf']
Stand by and get_help never coincide, yet one of them is always true.;G!_get_help & idle& G_get_help | idle;['get_help', 'idle']
Update light_east yellow and record the person on southeast_2nd_avenue never coincide, yet one of them is always true.;G!(change_light_east_yellow & record_person_southeast_2nd_avenue) & G(change_light_east_yellow | record_person_southeast_2nd_avenue);['change_light_east_yellow', 'record_person_southeast_2nd_avenue']
Get help and photo unstable_beam never coincide, yet one of them is always true.;G!(get_help & photo_unstable_beam) & G(get_help | photo_unstable_beam);['get_help', 'photo_unstable_beam']
Drop off the toothbrush to the loading_dock and deliver the baseball_glove to the shelf never coincide, yet one of them is always true.;G!(deliver_baseball_glove_shelf & deliver_toothbrush_loading_dock) & G(deliver_baseball_glove_shelf | deliver_toothbrush_loading_dock);['deliver_toothbrush_loading_dock', 'deliver_baseball_glove_shelf']
Call for help and record debris never coincide, yet one of them is always true.;G!(get_help & record_debris) & G(get_help | record_debris);['get_help', 'record_debris']
Set light_west green and get_help never coincide, yet one of them is always true.;G!(change_light_west_green & get_help) & G(change_light_west_green | get_help);['get_help', 'change_light_west_green']
Take a picture of the pedestrian on northwest_7th_street and record the pedestrian on southwest_4th_street never coincide, yet one of them is always true.;G!(photo_pedestrian_northwest_7th_street & record_pedestrian_southwest_4th_street) & G(photo_pedestrian_northwest_7th_street | record_pedestrian_southwest_4th_street);['record_pedestrian_southwest_4th_street', 'photo_pedestrian_northwest_7th_street']
Our agent must always avoid pickuping the remote.;G!pickup_remote;['pickup_remote']
You must always avoid photoing the vehicle on east_1st_avenue.;G!photo_vehicle_east_1st_avenue;['photo_vehicle_east_1st_avenue']
The robot must always avoid pickup the boat.;G!pickup_boat;['pickup_boat']
Our agent must always avoid delivering aid to the safe_rescuer.;G!deliver_aid_safe_rescuer;['deliver_aid_safe_rescuer']
Our agent must always avoid photoing the motorcycle on north_5th_street.;G!photo_motorcycle_north_5th_street;['photo_motorcycle_north_5th_street']
You must always avoid returning home.;G!go_home;['go_home']
Our agent must always avoid pickuping the mouse.;G!pickup_mouse;['pickup_mouse']
The robot must always avoid searching for the baseball_glove.;G!search_baseball_glove;['search_baseball_glove']
You must always avoid pickuping the aeroplane.;G!pickup_aeroplane;['pickup_aeroplane']
The robot must always avoid picking up the horse.;G!pickup_horse;['pickup_horse']
This controller must always avoid recording gas_leak.;G!record_gas_leak;['record_gas_leak']
The system must always avoid photoing the cyclist on east_1st_street.;G!photo_cyclist_east_1st_street;['photo_cyclist_east_1st_street']
Whenever neither pickup the truck nor get_help holds, search the banana eventually holds.;G(!(get_help & pickup_truck) -> F search_banana);['get_help', 'pickup_truck', 'search_banana']
Whenever neither deliver_aid the injured_hostile nor get_help holds, communicate the safe_rescuer eventually holds.;G(!(deliver_aid_injured_hostile & get_help) -> F communicate_safe_rescuer);['get_help', 'deliver_aid_injured_hostile', 'communicate_safe_rescuer']
Whenever neither communicate the safe_victim nor go_home holds, get_help eventually holds.;G(!(communicate_safe_victim & go_home) -> F get_help);['get_help', 'go_home', 'communicate_safe_victim']
Whenever neither record unstable_beam nor go_home holds, communicate the safe_rescuer eventually holds.;G(!(go_home & record_unstable_beam) -> F communicate_safe_rescuer);['go_home', 'communicate_safe_rescuer', 'record_unstable_beam']
Whenever neither change light_south red nor record the pedestrian on southeast_10th_street holds, change light_west green eventually holds.;G(!(change_light_south_red & record_pedestrian_southeast_10th_street) -> F change_light_west_green);['change_light_south_red', 'change_light_west_green', 'record_pedestrian_southeast_10th_street']
Whenever neither get_help nor photo the vehicle on northeast_6th_street holds, change light_east yellow eventually holds.;G(!(get_help & photo_vehicle_northeast_6th_street) -> F change_light_east_yellow);['get_help', 'change_light_east_yellow', 'photo_vehicle_northeast_6th_street']
Whenever neither photo the pedestrian on southwest_4th_avenue nor record the collision on north_8th_street holds, get_help eventually holds.;G(!(photo_pedestrian_southwest_4th_avenue & record_collision_north_8th_street) -> F get_help);['get_help', 'record_collision_north_8th_street', 'photo_pedestrian_southwest_4th_avenue']
Whenever neither deliver_aid the injured_rescuer nor communicate the injured_hostile holds, get_help eventually holds.;G(!(communicate_injured_hostile & deliver_aid_injured_rescuer) -> F get_help);['get_help', 'deliver_aid_injured_rescuer', 'communicate_injured_hostile']
Whenever neither deliver_aid the injured_rescuer nor deliver_aid the safe_rescuer holds, avoid the inactive_unstable_beam eventually holds.;G(!(deliver_aid_injured_rescuer & deliver_aid_safe_rescuer) -> F avoid_inactive_unstable_beam);['deliver_aid_injured_rescuer', 'deliver_aid_safe_rescuer', 'avoid_inactive_unstable_beam']
Whenever neither go_home nor photo flood holds, deliver_aid the safe_hostile eventually holds.;G(!(go_home & photo_flood) -> F deliver_aid_safe_hostile);['go_home', 'deliver_aid_safe_hostile', 'photo_flood']
Whenever neither idle nor search the bowl holds, deliver the skateboard to the loading_dock eventually holds.;G(!(idle & search_bowl) -> F deliver_skateboard_loading_dock);['idle', 'search_bowl', 'deliver_skateboard_loading_dock']
Whenever neither change light_east green nor get_help holds, record the motorcycle on southeast_2nd_avenue eventually holds.;G(!(change_light_east_green & get_help) -> F record_motorcycle_southeast_2nd_avenue);['get_help', 'change_light_east_green', 'record_motorcycle_southeast_2nd_avenue']
If deliver_aid the safe_rescuer holds and communicate the safe_victim holds next, then communicate the injured_hostile holds in the step after that.;G((deliver_aid_safe_rescuer & X communicate_safe_victim) -> XX communicate_injured_hostile);['communicate_safe_victim', 'deliver_aid_safe_rescuer', 'communicate_injured_hostile']
If get_help holds and pickup the umbrella holds next, then pickup the bear holds in the step after that.;G((get_help & X pickup_umbrella) -> XX pickup_bear);['get_help', 'pickup_bear', 'pickup_umbrella']
If photo the cyclist on north_7th_avenue holds and photo the motorcycle on southwest_4th_avenue holds next, then get_help holds in the step after that.;G((photo_cyclist_north_7th_avenue & X photo_motorcycle_southwest_4th_avenue) -> XX get_help);['get_help', 'photo_cyclist_north_7th_avenue', 'photo_motorcycle_southwest_4th_avenue']
If get_help holds and pickup the teddy-bear holds next, then pickup the spoon holds in the step after that.;G((get_help & X pickup_teddy_bear) -> XX pickup_spoon);['get_help', 'pickup_spoon', 'pickup_teddy_bear']
If photo injured_rescuer holds and record flood holds next, then communicate the injured_rescuer holds in the step after that.;G((photo_injured_rescuer & X record_flood) -> XX communicate_injured_rescuer);['communicate_injured_rescuer', 'record_flood', 'photo_injured_rescuer']
If communicate the injured_victim holds and communicate the injured_hostile holds next, then communicate the safe_hostile holds in the step after that.;G((communicate_injured_victim & X communicate_injured_hostile) -> XX communicate_safe_hostile);['communicate_injured_victim', 'communicate_injured_hostile', 'communicate_safe_hostile']
If deliver the orange to the shelf holds and deliver the bear to the loading_dock holds next, then pickup the surfboard holds in the step after that.;G((deliver_orange_shelf & X deliver_bear_loading_dock) -> XX pickup_surfboard);['deliver_orange_shelf', 'deliver_bear_loading_dock', 'pickup_surfboard']
If photo safe_rescuer holds and go_home holds next, then avoid the inactive_fire_source holds in the step after that.;G((photo_safe_rescuer & X go_home) -> XX avoid_inactive_fire_source);['go_home', 'photo_safe_rescuer', 'avoid_inactive_fire_source']
